"Title","People claiming Jobseeker's Allowance by ethnicity and area"
"Location","England and Wales"
"Time period","2015"
"Data source","Official Labour Market Statistics (NOMIS)"
"Data source link","https://www.nomisweb.co.uk/home/news.asp?cat=24"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2015"

"Region","Ethnicity","%"
"All","White","1.5"
"All","Other","2.3"
"East","White","1.2"
"East","Other","1.4"
"East Midlands","White","1.5"
"East Midlands","Other","2.0"
"London","White","1.2"
"London","Other","2.4"
"North East","White","2.7"
"North East","Other","2.5"
"North West","White","1.4"
"North West","Other","2.1"
"South East","White","1.0"
"South East","Other","1.1"
"South West","White","1.0"
"South West","Other","1.5"
"Wales","White","2.2"
"Wales","Other","2.2"
"West Midlands","White","1.7"
"West Midlands","Other","3.4"
"Yorkshire and The Humber","White","2.2"
"Yorkshire and The Humber","Other","3.1"
