"Title","People claiming Jobseeker's Allowance by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","DWP administrative data"
"Data source link","https://www.nomisweb.co.uk/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2015"

"Date","Ethnicity",""
"2011","White","3.3"
"2011","Other","4.5"
"2012","White","3.4"
"2012","Other","4.6"
"2013","White","3.0"
"2013","Other","4.1"
"2014","White","2.1"
"2014","Other","3.0"
"2015","White","1.5"
"2015","Other","2.3"
