"Title","Family units receiving state support, by ethnicity and type of support"
"Location",""
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"

"","Any type of state support","Any type of tax credit","Any income-related benefit","Any non-income related benefit"
"Ethnicity","%","%","%","%"
"All","57","11","19","53"
"Asian","48","16","18","43"
"Bangladeshi","56","30","32","48"
"Chinese","30","7","8","28"
"Indian","46","9","13","43"
"Pakistani","53","25","23","46"
"Asian other","44","15","18","40"
"Black","54","19","29","47"
"Mixed","45","15","24","37"
"White British","59","10","19","55"
"White other","42","13","15","39"
"Any other","49","15","27","42"
