"Title","Family units receiving state support by ethnicity over time"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Time","Ethnicity","%"
"2009/10-2011/12","All","62"
"2009/10-2011/12","Asian","49"
"2009/10-2011/12","Bangladeshi","53"
"2009/10-2011/12","Chinese","29"
"2009/10-2011/12","Indian","48"
"2009/10-2011/12","Pakistani","56"
"2009/10-2011/12","Asian other","48"
"2009/10-2011/12","Black","58"
"2009/10-2011/12","Mixed","49"
"2009/10-2011/12","White British","64"
"2009/10-2011/12","White other","48"
"2009/10-2011/12","Other","55"
"2010/11-2012/13","All","61"
"2010/11-2012/13","Asian","50"
"2010/11-2012/13","Bangladeshi","52"
"2010/11-2012/13","Chinese","29"
"2010/11-2012/13","Indian","48"
"2010/11-2012/13","Pakistani","59"
"2010/11-2012/13","Asian other","51"
"2010/11-2012/13","Black","60"
"2010/11-2012/13","Mixed","47"
"2010/11-2012/13","White British","63"
"2010/11-2012/13","White other","47"
"2010/11-2012/13","Other","53"
"2011/12-2013/14","All","60"
"2011/12-2013/14","Asian","50"
"2011/12-2013/14","Bangladeshi","59"
"2011/12-2013/14","Chinese","31"
"2011/12-2013/14","Indian","48"
"2011/12-2013/14","Pakistani","57"
"2011/12-2013/14","Asian other","49"
"2011/12-2013/14","Black","59"
"2011/12-2013/14","Mixed","46"
"2011/12-2013/14","White British","62"
"2011/12-2013/14","White other","46"
"2011/12-2013/14","Other","52"
"2012/13-2014/15","All","58"
"2012/13-2014/15","Asian","49"
"2012/13-2014/15","Bangladeshi","55"
"2012/13-2014/15","Chinese","30"
"2012/13-2014/15","Indian","47"
"2012/13-2014/15","Pakistani","57"
"2012/13-2014/15","Asian other","49"
"2012/13-2014/15","Black","58"
"2012/13-2014/15","Mixed","44"
"2012/13-2014/15","White British","60"
"2012/13-2014/15","White other","45"
"2012/13-2014/15","Other","49"
"2013/14-2015/16","All","57"
"2013/14-2015/16","Asian","48"
"2013/14-2015/16","Bangladeshi","56"
"2013/14-2015/16","Chinese","30"
"2013/14-2015/16","Indian","46"
"2013/14-2015/16","Pakistani","53"
"2013/14-2015/16","Asian other","44"
"2013/14-2015/16","Black","54"
"2013/14-2015/16","Mixed","45"
"2013/14-2015/16","White British","59"
"2013/14-2015/16","White other","42"
"2013/14-2015/16","Other","49"
