"Title","Family units receiving tax credits"
"Location","UK"
"Time period","2013/14 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"","Child Tax Credit  ","Working Tax Credit  "
"Ethnicity","%","%"
"All","10","5"
"Asian","15","9"
"Bangladeshi","29","16"
"Chinese","6","5"
"Indian","8","5"
"Pakistani","24","14"
"Asian other","15","9"
"Black","19","8"
"Mixed","14","7"
"White British","9","5"
"White other","12","8"
"Other","14","7"
