"Title","Employment by type of occupation and ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","20 February 2018"

"","All","Indian","Pakistani/Bangladeshi","Black","Mixed","White","Other inc Chinese and Other Asian"
"","%","%","%","%","%","%","%"
"Administrative & secretarial  ","10","10","9","9","9","11","8"
"Associate professional & technical ","14","13","10","13","17","15","11"
"Caring, leisure and other services","9","6","9","18","11","9","9"
"Elementary  ","11","9","11","14","14","10","14"
"Managers, directors & senior officials ","11","11","11","6","8","11","11"
"Process, plant & machine operatives ","6","6","14","6","5","6","6"
"Professional  ","20","31","16","21","21","20","24"
"Sales & consumer service  ","8","9","13","8","10","7","8"
"Skilled trades  ","11","5","7","6","6","11","8"
