"Ethnicity","Highest qualification held",""
"All","All","73%"
"All","Level 4 and above","83%"
"All","Level 3","78%"
"All","Level 2","71%"
"All","Below Level 2","63%"
"All","Other qualifications","66%"
"All","No qualifications","36%"
"Asian","All","56%"
"Asian","Level 4 and above","73%"
"Asian","Level 3","63%"
"Asian","Level 2","49%"
"Asian","Below Level 2","40%"
"Asian","Other qualifications","49%"
"Asian","No qualifications","19%"
"Black","All","67%"
"Black","Level 4 and above","79%"
"Black","Level 3","70%"
"Black","Level 2","65%"
"Black","Below Level 2","59%"
"Black","Other qualifications","52%"
"Black","No qualifications","34%"
"Mixed","All","71%"
"Mixed","Level 4 and above","81%"
"Mixed","Level 3","81%"
"Mixed","Level 2","65%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","75%"
"White","Level 4 and above","84%"
"White","Level 3","80%"
"White","Level 2","72%"
"White","Below Level 2","65%"
"White","Other qualifications","71%"
"White","No qualifications","40%"
"Other","All","60%"
"Other","Level 4 and above","72%"
"Other","Level 3","63%"
"Other","Level 2","58%"
"Other","Below Level 2","?"
"Other","Other qualifications","53%"
"Other","No qualifications","28%"
