"Ethnicity","Highest qualification held",""
"All","Level 4 and above","86%"
"All","Level 3","83%"
"All","Level 2","76%"
"All","Below Level 2","71%"
"All","Other qualifications","76%"
"All","No qualifications","46%"
"All","All","78%"
"Asian","Level 4 and above","82%"
"Asian","Level 3","71%"
"Asian","Level 2","60%"
"Asian","Below Level 2","55%"
"Asian","Other qualifications","67%"
"Asian","No qualifications","39%"
"Asian","All","69%"
"Black","Level 4 and above","84%"
"Black","Level 3","76%"
"Black","Level 2","64%"
"Black","Below Level 2","66%"
"Black","Other qualifications","66%"
"Black","No qualifications","40%"
"Black","All","73%"
"Mixed","Level 4 and above","83%"
"Mixed","Level 3","82%"
"Mixed","Level 2","67%"
"Mixed","Below Level 2","58%"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","43%"
"Mixed","All","74%"
"White","Level 4 and above","87%"
"White","Level 3","83%"
"White","Level 2","77%"
"White","Below Level 2","72%"
"White","Other qualifications","78%"
"White","No qualifications","47%"
"White","All","79%"
"Other","Level 4 and above","78%"
"Other","Level 3","70%"
"Other","Level 2","59%"
"Other","Below Level 2","53%"
"Other","Other qualifications","68%"
"Other","No qualifications","44%"
"Other","All","69%"
