"Title","Employment by ethnicity and age group"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"","16-24","","25-49","","50-64","","All (16-64)",""
"","%","Employed people","%","Employed people","%","Employed people","%","Employed people"
"All","54","3,745,000","84","17,678,000","71","8,519,000","75","29,943,000"
"Asian","34","222,000","74","1,466,000","65","341,000","64","2,029,000"
"Indian","44","76,000","83","608,000","69","158,000","74","842,000"
"Pakistani and Bangladeshi","32","94,000","64","486,000","53","78,000","55","658,000"
"Asian other inc Chinese","29","52,000","75","372,000","71","105,000","64","528,000"
"Black","35","89,000","75","544,000","75","233,000","67","865,000"
"Mixed","48","88,000","81","229,000","64","46,000","67","363,000"
"White","58","3,305,000","86","15,068,000","71","7,808,000","77","26,181,000"
"White British","59","3,072,000","86","13,112,000","71","7,461,000","76","23,645,000"
"White other","55","233,000","87","1,956,000","73","347,000","81","2,536,000"
"Other","30","40,000","69","361,000","65","86,000","62","486,000"
