"Title","Employment by ethnicity and gender"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"sex","Ethnicity","%","Employed people"
"All","All","75","29,943,000"
"All","Asian","64","2,029,000"
"All","Indian","74","842,000"
"All","Pakistani and Bangladeshi","55","658,000"
"All","Asian other inc Chinese","64","528,000"
"All","Black","67","865,000"
"All","Mixed","67","363,000"
"All","White","77","26,181,000"
"All","White British","76","23,645,000"
"All","White other","81","2,536,000"
"All","Other","62","486,000"
"Men","All","80","15,818,000"
"Men","Asian","75","1,181,000"
"Men","Indian","82","471,000"
"Men","Pakistani and Bangladeshi","71","436,000"
"Men","Asian other inc Chinese","73","274,000"
"Men","Black","73","425,000"
"Men","Mixed","69","174,000"
"Men","White","81","13,750,000"
"Men","White British","80","12,436,000"
"Men","White other","89","1,315,000"
"Men","Other","70","277,000"
"Women","All","70","14,125,000"
"Women","Asian","53","848,000"
"Women","Indian","66","371,000"
"Women","Pakistani and Bangladeshi","38","223,000"
"Women","Asian other inc Chinese","57","254,000"
"Women","Black","62","440,000"
"Women","Mixed","66","189,000"
"Women","White","73","12,431,000"
"Women","White British","73","11,209,000"
"Women","White other","74","1,221,000"
"Women","Other","53","209,000"
