"Title","Average hourly pay by ethnicity"
"Location","UK"
"Time period","2013 to 2017"
"Data source","Labour Force Survey"
"Data source link","https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=59"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Time","Ethnicity","£"
"2013","All","10.48"
"2013","Ethnic minorities (excluding White minorities)","10.07"
"2013","Indian","11.29"
"2013","Pakistani/Bangladeshi","8.27"
"2013","Black","10.30"
"2013","Mixed","11.57"
"2013","White","10.52"
"2013","Other inc Chinese and Other Asian","9.77"
"2014","All","10.68"
"2014","Ethnic minorities (excluding White minorities)","10.12"
"2014","Indian","12.18"
"2014","Pakistani/Bangladeshi","7.88"
"2014","Black","10.27"
"2014","Mixed","11.11"
"2014","White","10.74"
"2014","Other inc Chinese and Other Asian","9.81"
"2015","All","10.76"
"2015","Ethnic minorities (excluding White minorities)","10.12"
"2015","Indian","11.58"
"2015","Pakistani/Bangladeshi","9.15"
"2015","Black","9.77"
"2015","Mixed","10.85"
"2015","White","10.84"
"2015","Other inc Chinese and Other Asian","9.88"
"2016","All","11.00"
"2016","Ethnic minorities (excluding White minorities)","10.69"
"2016","Indian","12.29"
"2016","Pakistani/Bangladeshi","9.33"
"2016","Black","10.24"
"2016","Mixed","11.06"
"2016","White","11.05"
"2016","Other inc Chinese and Other Asian","10.78"
"2017","All","11.31"
"2017","Ethnic minorities (excluding White minorities)","11.24"
"2017","Indian","13.14"
"2017","Pakistani/Bangladeshi","9.52"
"2017","Black","11.10"
"2017","Mixed","11.26"
"2017","White","11.34"
"2017","Other inc Chinese and Other Asian","11.05"
