"Title","Household income"
"Location","United Kingdom"
"Time period","2013/14 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","71,324","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","71,324","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","71,324","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","71,324","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","71,324","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","71,324","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","71,324","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","71,324","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","71,324","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","71,324","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","22","71,324","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","66,117","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","66,117","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","66,117","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","66,117","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","66,117","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","66,117","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","66,117","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","66,117","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","66,117","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","66,117","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","22","66,117","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","63,385","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","63,385","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","63,385","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","63,385","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","63,385","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","63,385","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","63,385","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","63,385","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","63,385","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","63,385","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","21","63,385","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,732","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,732","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","2,732","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","2,732","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","2,732","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,732","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","2,732","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","2,732","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,732","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","2,732","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","26","2,732","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","531","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","531","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","531","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","531","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","531","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","531","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","531","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","531","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","531","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","531","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","531","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,622","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,622","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","2,622","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","2,622","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","2,622","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","2,622","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","2,622","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,622","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,622","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","2,622","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","24","2,622","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,127","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","1,127","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","1,127","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,127","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","1,127","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,127","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,127","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","1,127","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,127","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,127","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","32","1,127","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","618","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","618","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","618","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","17","618","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","16","618","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","618","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","618","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","618","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","618","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","618","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","618","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","221","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","221","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","221","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","16","221","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","221","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","17","221","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","221","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","221","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","221","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","221","","","",""
