"Income Quintile Disitribution","Ethnicity","%"
"Percentage of individuals in bottom income quintile","Asian","33"
"Percentage of individuals in bottom income quintile","Black","38"
"Percentage of individuals in bottom income quintile","Mixed","27"
"Percentage of individuals in bottom income quintile","White British","17"
"Percentage of individuals in bottom income quintile","White Other","26"
"Percentage of individuals in bottom income quintile","Other","44"
"Percentage of individuals in second income quintile","Asian","25"
"Percentage of individuals in second income quintile","Black","24"
"Percentage of individuals in second income quintile","Mixed","17"
"Percentage of individuals in second income quintile","White British","19"
"Percentage of individuals in second income quintile","White Other","20"
"Percentage of individuals in second income quintile","Other","19"
"Percentage of individuals in third income quintile","Asian","16"
"Percentage of individuals in third income quintile","Black","17"
"Percentage of individuals in third income quintile","Mixed","25"
"Percentage of individuals in third income quintile","White British","21"
"Percentage of individuals in third income quintile","White Other","18"
"Percentage of individuals in third income quintile","Other","11"
"Percentage of individuals in fourth income quintile","Asian","13"
"Percentage of individuals in fourth income quintile","Black","14"
"Percentage of individuals in fourth income quintile","Mixed","16"
"Percentage of individuals in fourth income quintile","White British","21"
"Percentage of individuals in fourth income quintile","White Other","16"
"Percentage of individuals in fourth income quintile","Other","12"
"Percentage of individuals in top income quintile","Asian","13"
"Percentage of individuals in top income quintile","Black","7"
"Percentage of individuals in top income quintile","Mixed","15"
"Percentage of individuals in top income quintile","White British","21"
"Percentage of individuals in top income quintile","White Other","20"
"Percentage of individuals in top income quintile","Other","13"
