"Title","Income distribution after housing costs in each ethnic group"
"Location","UK"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","Households Below Average Income: 1994/95 to 2016/17"
"Data source link","https://www.gov.uk/government/statistics/households-below-average-income-199495-to-201617"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","22/03/2018"

"incomequintiledisitribution","Ethnicity","%"
" Bottom quintile (lowest income) ","Asian","33"
" Bottom quintile (lowest income) ","Black","40"
" Bottom quintile (lowest income) ","Mixed","29"
" Bottom quintile (lowest income) ","White","18"
" Bottom quintile (lowest income) ","White British","17"
" Bottom quintile (lowest income) ","White other","26"
" Bottom quintile (lowest income) ","Other","42"
" Second lowest quintile  ","Asian","25"
" Second lowest quintile  ","Black","22"
" Second lowest quintile  ","Mixed","16"
" Second lowest quintile  ","White","20"
" Second lowest quintile  ","White British","20"
" Second lowest quintile  ","White other","19"
" Second lowest quintile  ","Other","19"
" Middle quintile ","Asian","17"
" Middle quintile ","Black","18"
" Middle quintile ","Mixed","24"
" Middle quintile ","White","20"
" Middle quintile ","White British","21"
" Middle quintile ","White other","17"
" Middle quintile ","Other","12"
" Second highest quintile ","Asian","13"
" Second highest quintile ","Black","13"
" Second highest quintile ","Mixed","15"
" Second highest quintile ","White","21"
" Second highest quintile ","White British","21"
" Second highest quintile ","White other","17"
" Second highest quintile ","Other","12"
" Top quintile (highest income)   ","Asian","13"
" Top quintile (highest income)   ","Black","7"
" Top quintile (highest income)   ","Mixed","16"
" Top quintile (highest income)   ","White","21"
" Top quintile (highest income)   ","White British","21"
" Top quintile (highest income)   ","White other","20"
" Top quintile (highest income)   ","Other","15"
