"Age Bracket","Ethnicity","%"
"All","Asian","18"
"All","Black","16"
"All","Mixed","10"
"All","White British","9"
"All","White other","8"
"All","Other","20"
"Children","Asian","25"
"Children","Black","20"
"Children","Mixed","11"
"Children","White British","10"
"Children","White other","8"
"Children","Other","27"
"Working-age adults","Asian","14"
"Working-age adults","Black","14"
"Working-age adults","Mixed","10"
"Working-age adults","White British","7"
"Working-age adults","White other","6"
"Working-age adults","Other","17"
"Pensioners","Asian","14"
"Pensioners","Black","9"
"Pensioners","Mixed","?"
"Pensioners","White British","12"
"Pensioners","White other","15"
"Pensioners","Other","?"
