"Title","Persistent low income"
"Location","UK"
"Time period","2012 to 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/income-dynamics-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-21"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","106,684"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","88,642"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","83,568"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","5,074"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","1,244"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","7,352"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","3,499"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","598"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","20,118"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","13,837"
