"agebracket","Ethnicity","%","No. of respondents"
"All","All","9","36,461"
"All","Asian","20","3,087"
"All","Black","20","1,265"
"All","Mixed","9","407"
"All","White","8","29,799"
"All","White British","8","28,130"
"All","White other","8","1,669"
"All","Other","20","226"
"Children","All","11","8,929"
"Children","Asian","28","1,145"
"Children","Black","26","456"
"Children","Mixed","7","137"
"Children","White","9","6,701"
"Children","White British","9","6,268"
"Children","White other","10","433"
"Children","Other","?","81"
"Working-age adults","All","8","20,031"
"Working-age adults","Asian","16","1,753"
"Working-age adults","Black","17","689"
"Working-age adults","Mixed","11","236"
"Working-age adults","White","7","16,198"
"Working-age adults","White British","7","15,262"
"Working-age adults","White other","6","936"
"Working-age adults","Other","16","123"
"Pensioners","All","10","7,487"
"Pensioners","Asian","16","186"
"Pensioners","Black","13","118"
"Pensioners","Mixed","?","34"
"Pensioners","White","10","6,894"
"Pensioners","White British","10","6,594"
"Pensioners","White other","13","300"
"Pensioners","Other","?","22"
