"Title","Pensioner households' income from the State Pension by ethnicity over time"
"Location","UK"
"Time period","2008/09 to 2015/16"
"Data source","Pensioners’ incomes series: financial year 2015/16"
"Data source link","https://www.gov.uk/government/statistics/pensioners-incomes-series-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Time","Ethnicity","£"
"2008/09; 2009/10; 2010/11","All","157"
"2008/09; 2009/10; 2010/11","White British","158"
"2008/09; 2009/10; 2010/11","White other","145"
"2008/09; 2009/10; 2010/11","Black","136"
"2008/09; 2009/10; 2010/11","Asian","124"
"2008/09; 2009/10; 2010/11","Other","131"
"2009/10; 2010/11; 2011/12","All","160"
"2009/10; 2010/11; 2011/12","White British","162"
"2009/10; 2010/11; 2011/12","White other","140"
"2009/10; 2010/11; 2011/12","Black","141"
"2009/10; 2010/11; 2011/12","Asian","121"
"2009/10; 2010/11; 2011/12","Other","134"
"2010/11; 2011/12; 2012/13","All","162"
"2010/11; 2011/12; 2012/13","White British","164"
"2010/11; 2011/12; 2012/13","White other","138"
"2010/11; 2011/12; 2012/13","Black","130"
"2010/11; 2011/12; 2012/13","Asian","116"
"2010/11; 2011/12; 2012/13","Other","125"
"2011/12; 2012/13; 2013/14","All","164"
"2011/12; 2012/13; 2013/14","White British","167"
"2011/12; 2012/13; 2013/14","White other","138"
"2011/12; 2012/13; 2013/14","Black","128"
"2011/12; 2012/13; 2013/14","Asian","115"
"2011/12; 2012/13; 2013/14","Other","133"
"2012/13; 2013/14; 2014/15","All","167"
"2012/13; 2013/14; 2014/15","White British","170"
"2012/13; 2013/14; 2014/15","White other","144"
"2012/13; 2013/14; 2014/15","Black","125"
"2012/13; 2013/14; 2014/15","Asian","123"
"2012/13; 2013/14; 2014/15","Other","135"
"2013/14; 2014/15; 2015/16","All","170"
"2013/14; 2014/15; 2015/16","White British","172"
"2013/14; 2014/15; 2015/16","White other","142"
"2013/14; 2014/15; 2015/16","Black","130"
"2013/14; 2014/15; 2015/16","Asian","126"
"2013/14; 2014/15; 2015/16","Other","144"
