"Time","Ethnicity","£"
"2008/09 to 2010/11","All","496"
"2008/09 to 2010/11","Asian","417"
"2008/09 to 2010/11","Black","392"
"2008/09 to 2010/11","White",""
"2008/09 to 2010/11","White British","500"
"2008/09 to 2010/11","White other","489"
"2008/09 to 2010/11","Other inc Mixed","465"
"2009/10 to 2011/12","All","502"
"2009/10 to 2011/12","Asian","433"
"2009/10 to 2011/12","Black","393"
"2009/10 to 2011/12","White",""
"2009/10 to 2011/12","White British","505"
"2009/10 to 2011/12","White other","494"
"2009/10 to 2011/12","Other inc Mixed","484"
"2010/11 to 2012/13","All","497"
"2010/11 to 2012/13","Asian","436"
"2010/11 to 2012/13","Black","367"
"2010/11 to 2012/13","White",""
"2010/11 to 2012/13","White British","501"
"2010/11 to 2012/13","White other","475"
"2010/11 to 2012/13","Other inc Mixed","515"
"2011/12 to 2013/14","All","496"
"2011/12 to 2013/14","Asian","452"
"2011/12 to 2013/14","Black","360"
"2011/12 to 2013/14","White",""
"2011/12 to 2013/14","White British","500"
"2011/12 to 2013/14","White other","466"
"2011/12 to 2013/14","Other inc Mixed","523"
"2012/13 to 2014/15","All","505"
"2012/13 to 2014/15","Asian","424"
"2012/13 to 2014/15","Black","372"
"2012/13 to 2014/15","White",""
"2012/13 to 2014/15","White British","510"
"2012/13 to 2014/15","White other","462"
"2012/13 to 2014/15","Other inc Mixed","567"
"2013/14 to 2015/16","All","511"
"2013/14 to 2015/16","Asian","399"
"2013/14 to 2015/16","Black","374"
"2013/14 to 2015/16","White",""
"2013/14 to 2015/16","White British","518"
"2013/14 to 2015/16","White other","465"
"2013/14 to 2015/16","Other inc Mixed","525"
"2014/15 to 2016/17","All","520"
"2014/15 to 2016/17","Asian","397"
"2014/15 to 2016/17","Black","377"
"2014/15 to 2016/17","White",""
"2014/15 to 2016/17","White British","526"
"2014/15 to 2016/17","White other","473"
"2014/15 to 2016/17","Other inc Mixed","550"
