"Title","Pensioners' income sources by ethnicity"
"Location","UK"
"Time period","2013/14 to 2016/17"
"Data source","Pensioners’ incomes series: financial year 2016/17"
"Data source link","https://www.gov.uk/government/statistics/pensioners-incomes-series-financial-year-201617"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","22/03/2018"

"","All","Asian","Black","White British","White other","Other inc Mixed"
"","%","%","%","%","%","%"
"Receiving income from benefits (including State Pension)","100","99","100","100","99","99"
"Receiving income from State Pension","97","88","93","98","88","87"
"Receiving income from income-related benefits","25","33","46","24","31","31"
"Receiving income from disability benefits","20","17","19","20","19","18"
"Receiving occupational pension income","62","34","43","64","47","48"
"Receiving personal pension income","19","10","8","19","13","13"
"Receiving investment income","63","35","29","65","57","45"
"Receiving income from earnings","17","18","18","17","18","23"
"Receiving other income","47","38","48","47","44","36"
