"Title","Share of income from benefits and tax credits by ethnicity over time"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Time","Ethnicity","%"
"2009/10-2011/12","All","9"
"2009/10-2011/12","Bangladeshi","27"
"2009/10-2011/12","Chinese","4"
"2009/10-2011/12","Indian","8"
"2009/10-2011/12","Pakistani","24"
"2009/10-2011/12","Asian other","11"
"2009/10-2011/12","Black","17"
"2009/10-2011/12","Mixed","14"
"2009/10-2011/12","White British","10"
"2009/10-2011/12","White other","8"
"2009/10-2011/12","Other","12"
"2010/11-2012/13","All","9"
"2010/11-2012/13","Bangladeshi","26"
"2010/11-2012/13","Chinese","4"
"2010/11-2012/13","Indian","6"
"2010/11-2012/13","Pakistani","24"
"2010/11-2012/13","Asian other","12"
"2010/11-2012/13","Black","19"
"2010/11-2012/13","Mixed","15"
"2010/11-2012/13","White British","9"
"2010/11-2012/13","White other","8"
"2010/11-2012/13","Other","12"
"2011/12-2013/14","All","8"
"2011/12-2013/14","Bangladeshi","27"
"2011/12-2013/14","Chinese","4"
"2011/12-2013/14","Indian","6"
"2011/12-2013/14","Pakistani","22"
"2011/12-2013/14","Asian other","10"
"2011/12-2013/14","Black","20"
"2011/12-2013/14","Mixed","14"
"2011/12-2013/14","White British","9"
"2011/12-2013/14","White other","6"
"2011/12-2013/14","Other","14"
"2012/13-2014/15","All","8"
"2012/13-2014/15","Bangladeshi","24"
"2012/13-2014/15","Chinese","3"
"2012/13-2014/15","Indian","6"
"2012/13-2014/15","Pakistani","21"
"2012/13-2014/15","Asian other","10"
"2012/13-2014/15","Black","19"
"2012/13-2014/15","Mixed","12"
"2012/13-2014/15","White British","8"
"2012/13-2014/15","White other","6"
"2012/13-2014/15","Other","14"
"2013/14-2015/16","All","8"
"2013/14-2015/16","Bangladeshi","25"
"2013/14-2015/16","Chinese","3"
"2013/14-2015/16","Indian","5"
"2013/14-2015/16","Pakistani","18"
"2013/14-2015/16","Asian other","9"
"2013/14-2015/16","Black","17"
"2013/14-2015/16","Mixed","11"
"2013/14-2015/16","White British","8"
"2013/14-2015/16","White other","5"
"2013/14-2015/16","Other","13"
