"Title","Share of income from wages, salaries or self-employment by ethnicity over time"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Family Resources Survey"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Time","Ethnicity","%"
"2009/10-2011/12","Bangladeshi","60"
"2009/10-2011/12","Chinese","68"
"2009/10-2011/12","Indian","83"
"2009/10-2011/12","Pakistani","65"
"2009/10-2011/12","Asian other","75"
"2009/10-2011/12","Black","72"
"2009/10-2011/12","Mixed","77"
"2009/10-2011/12","White British","71"
"2009/10-2011/12","White other","83"
"2009/10-2011/12","Other","73"
"2010/11-2012/13","Bangladeshi","58"
"2010/11-2012/13","Chinese","69"
"2010/11-2012/13","Indian","84"
"2010/11-2012/13","Pakistani","67"
"2010/11-2012/13","Asian other","73"
"2010/11-2012/13","Black","71"
"2010/11-2012/13","Mixed","74"
"2010/11-2012/13","White British","70"
"2010/11-2012/13","White other","82"
"2010/11-2012/13","Other","74"
"2011/12-2013/14","Bangladeshi","60"
"2011/12-2013/14","Chinese","79"
"2011/12-2013/14","Indian","84"
"2011/12-2013/14","Pakistani","69"
"2011/12-2013/14","Asian other","75"
"2011/12-2013/14","Black","69"
"2011/12-2013/14","Mixed","75"
"2011/12-2013/14","White British","70"
"2011/12-2013/14","White other","86"
"2011/12-2013/14","Other","71"
"2012/13-2014/15","Bangladeshi","64"
"2012/13-2014/15","Chinese","74"
"2012/13-2014/15","Indian","85"
"2012/13-2014/15","Pakistani","70"
"2012/13-2014/15","Asian other","74"
"2012/13-2014/15","Black","70"
"2012/13-2014/15","Mixed","77"
"2012/13-2014/15","White British","71"
"2012/13-2014/15","White other","86"
"2012/13-2014/15","Other","69"
"2013/14-2015/16","Bangladeshi","64"
"2013/14-2015/16","Chinese","75"
"2013/14-2015/16","Indian","85"
"2013/14-2015/16","Pakistani","72"
"2013/14-2015/16","Asian other","76"
"2013/14-2015/16","Black","72"
"2013/14-2015/16","Mixed","78"
"2013/14-2015/16","White British","70"
"2013/14-2015/16","White other","87"
"2013/14-2015/16","Other","69"
