"Title","Armed forces personnel by ethnicity and rank"
"Location",""
"Time period","2017"
"Data source","UK armed forces biannual diversity statistics"
"Data source link","https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","June 2017"

"Standard Ethnicity","NATO code","%"
"White","All Officers","97.6"
"White","OF-1(D)","97.1"
"White","OF-2","97.6"
"White","OF-3","97.6"
"White","OF-4","97.9"
"White","OF-5","98.2"
"White","OF-6 and above","99.1"
"White","All Other Ranks","91.7"
"White","OR-1/OR-2","92.4"
"White","OR-3","85.6"
"White","OR-4","90.0"
"White","OR-6","92.6"
"White","OR-7","95.1"
"White","OR-8","97.2"
"White","OR-9","98.7"
"Other","All Officers","2.4"
"Other","OF-1(D)","2.9"
"Other","OF-2","2.4"
"Other","OF-3","2.4"
"Other","OF-4","2.1"
"Other","OF-5","1.8"
"Other","OF-6 and above","!"
"Other","All Other Ranks","8.3"
"Other","OR-1/OR-2","7.6"
"Other","OR-3","14.4"
"Other","OR-4","10.0"
"Other","OR-6","7.4"
"Other","OR-7","4.9"
"Other","OR-8","2.8"
"Other","OR-9","1.3"
