"Title","Civil Service workforce by ethnicity and area"
"Location","UK"
"Time period","2016"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Region","Value"
"White","All regions","88.8"
"White","North East","97.8"
"White","North West","94.3"
"White","Yorkshire and the Humber","91.8"
"White","East Midlands","88.2"
"White","West Midlands","82.4"
"Mixed","All regions","1.4"
"Mixed","North East","0.6"
"Mixed","North West","1.1"
"Mixed","Yorkshire and the Humber","1.1"
"Mixed","East Midlands","1.3"
"Mixed","West Midlands","1.4"
"Asian","All regions","5.8"
"Asian","North East","0.9"
"Asian","North West","3.2"
"Asian","Yorkshire and the Humber","5.4"
"Asian","East Midlands","8.2"
"Asian","West Midlands","11.8"
"Black","All regions","3.1"
"Black","North East","0.3"
"Black","North West","0.8"
"Black","Yorkshire and the Humber","1.2"
"Black","East Midlands","1.9"
"Black","West Midlands","3.8"
"Chinese","All regions","0.3"
"Chinese","North East","0.1"
"Chinese","North West","0.2"
"Chinese","Yorkshire and the Humber","0.2"
"Chinese","East Midlands","0.1"
"Chinese","West Midlands","0.1"
"Other","All regions","0.5"
"Other","North East","0.2"
"Other","North West","0.3"
"Other","Yorkshire and the Humber","0.4"
"Other","East Midlands","0.3"
"Other","West Midlands","0.5"
