"Title","Percentage of staff by ethnicity and age"
"Location","UK"
"Time period","2016"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","6/10/2016"

"Standard Ethnicity","Age",""
"Asian","All Ages","5.8"
"Asian","Aged 16-19","7.2"
"Asian","Aged 20-29","9.5"
"Asian","Aged 30-39","8.5"
"Asian","Aged 40-49","5.9"
"Asian","Aged 50-59","3.6"
"Asian","Aged 60-64","4.0"
"Asian","Aged 65 & Over","6.7"
"Black","All Ages","3.1"
"Black","Aged 16-19","0.0"
"Black","Aged 20-29","2.7"
"Black","Aged 30-39","2.7"
"Black","Aged 40-49","3.7"
"Black","Aged 50-59","3.3"
"Black","Aged 60-64","1.9"
"Black","Aged 65 & Over","2.1"
"Chinese","All Ages","0.3"
"Chinese","Aged 16-19","0.0"
"Chinese","Aged 20-29","0.4"
"Chinese","Aged 30-39","0.4"
"Chinese","Aged 40-49","0.3"
"Chinese","Aged 50-59","0.2"
"Chinese","Aged 60-64","0.2"
"Chinese","Aged 65 & Over","0.2"
"Mixed","All Ages","1.4"
"Mixed","Aged 16-19","2.9"
"Mixed","Aged 20-29","2.6"
"Mixed","Aged 30-39","1.9"
"Mixed","Aged 40-49","1.3"
"Mixed","Aged 50-59","1.0"
"Mixed","Aged 60-64","0.7"
"Mixed","Aged 65 & Over","0.7"
"White","All Ages","88.8"
"White","Aged 16-19","89.9"
"White","Aged 20-29","84.2"
"White","Aged 30-39","85.9"
"White","Aged 40-49","88.4"
"White","Aged 50-59","91.4"
"White","Aged 60-64","92.5"
"White","Aged 65 & Over","89.7"
"Other","All Ages","0.5"
"Other","Aged 16-19","!"
"Other","Aged 20-29","0.5"
"Other","Aged 30-39","0.6"
"Other","Aged 40-49","0.5"
"Other","Aged 50-59","0.5"
"Other","Aged 60-64","0.6"
"Other","Aged 65 & Over","0.7"
