"Title","Police workforce"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","21 July 2016"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Rank","Rank_type","Geography","Geography_type","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 100,000 population by ethnicity, gender, and PFA (Based on FTE except Special Constables)","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"Rate per population","2007","As at 31/3","All","All","All","All","All","All","All - including BTP","Police Force Area","236,915","260,025","56,075,912","422.49","100%","100%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","All","All","All - including BTP","Police Force Area","4,800","5,612","3,820,390","125.64","2%","7%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","All - including BTP","Police Force Area","19","19","3,820,390","0.5","N/A","7%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Avon & Somerset","Police Force Area","1","1","33,005","3.03","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Bedfordshire","Police Force Area","0","0","81,480","0","N/A","13%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","British Transport Police","Police Force Area","1","1","N/A","N/A","N/A","N/A"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cambridgeshire","Police Force Area","0","0","39,535","0","N/A","5%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cheshire","Police Force Area","0","0","12,794","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cleveland","Police Force Area","0","0","17,419","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cumbria","Police Force Area","1","1","2,913","34.33","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Derbyshire","Police Force Area","3","3","36,871","8.14","N/A","4%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","11,694","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Dorset","Police Force Area","0","0","10,694","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Durham","Police Force Area","0","0","5,114","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","4,274","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Essex","Police Force Area","0","0","38,954","0","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Gloucestershire","Police Force Area","0","0","10,522","0","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Greater Manchester","Police Force Area","0","0","246,094","0","N/A","9%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Gwent","Police Force Area","0","0","10,076","0","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Hampshire","Police Force Area","0","0","57,352","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Hertfordshire","Police Force Area","0","0","64,119","0","N/A","6%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Humberside","Police Force Area","0","0","12,191","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Kent","Police Force Area","0","0","54,186","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Lancashire","Police Force Area","0","0","108,784","0","N/A","7%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Leicestershire","Police Force Area","0","0","155,740","0","N/A","15%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Lincolnshire","Police Force Area","0","0","5,579","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","9%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Merseyside","Police Force Area","0","0","18,851","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Metropolitan Police","Police Force Area","7","7","1,386,619","0.5","N/A","17%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Norfolk","Police Force Area","0","0","9,809","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","North Wales","Police Force Area","0","0","6,336","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","North Yorkshire","Police Force Area","0","0","9,914","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Northamptonshire","Police Force Area","0","0","22,581","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Northumbria","Police Force Area","0","0","37,782","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Nottinghamshire","Police Force Area","1","1","48,248","2.07","N/A","4%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","South Wales","Police Force Area","1","1","35,804","2.79","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","South Yorkshire","Police Force Area","0","0","54,660","0","N/A","4%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Staffordshire","Police Force Area","0","0","35,148","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Suffolk","Police Force Area","0","0","10,972","0","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Surrey","Police Force Area","0","0","54,037","0","N/A","5%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Sussex","Police Force Area","0","0","40,865","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Thames Valley","Police Force Area","2","2","192,541","1.04","N/A","8%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Warwickshire","Police Force Area","0","0","22,747","0","N/A","4%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","West Mercia","Police Force Area","0","0","21,715","0","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","West Midlands","Police Force Area","1","1","493,551","0.2","N/A","18%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","West Yorkshire","Police Force Area","1","1","280,764","0.36","N/A","13%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Wiltshire","Police Force Area","0","0","17,379","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","All - including BTP","Police Force Area","4","4","3,820,390","0.1","N/A","7%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Avon & Somerset","Police Force Area","0","0","33,005","0","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Bedfordshire","Police Force Area","0","0","81,480","0","N/A","13%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Cambridgeshire","Police Force Area","0","0","39,535","0","N/A","5%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Cheshire","Police Force Area","0","0","12,794","0","N/A","1%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Officer","Detailed rank data","Cleveland","Police Force Area","0","0","17,419","0","N/A","3%"
