"Title","Police workforce by ethnicity and gender"
"Location","England and Wales"
"Time period","2007 to 2017"
"Data source","Police workforce, England and Wales, 31 March 2017"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/17"

"Gender","Ethnicity","Number 2007","% 2007","Number 2017","% 2017"
"Female","Asian","402","1.2","635","1.8"
"Female","Black","359","1.1","393","1.1"
"Female","Mixed","393","1.2","625","1.8"
"Female","White","31,463","96.1","33,333","94.7"
"Female","Other","130","0.4","211","0.6"
"Female","Unknown","371","N/A","648","N/A"
"Male","Asian","1,709","1.6","2,470","2.9"
"Male","Black","991","0.9","1,039","1.2"
"Male","Mixed","1,026","1.0","1,560","1.8"
"Male","White","102,909","96.1","79,621","93.3"
"Male","Other","502","0.5","641","0.8"
"Male","Unknown"," 1,628 ","N/A"," 1,969 ","N/A"
