"Title","Success of shortlisted applicants to NHS jobs by ethnicity and trust type"
"Location","England"
"Time period","2016/17"
"Data source","Workforce Race Equality Standard (WRES) data reporting December 2017"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/12/2017"

"ethnicity","Type of trust","%"
"White","All","19.2"
"White","Ambulance trusts","23.1"
"White","Community trusts","15.7"
"White","Acute trusts","20.0"
"White","Mental health trusts","16.5"
"Other","All","12.0"
"Other","Ambulance trusts","13.6"
"Other","Community trusts","7.2"
"Other","Acute trusts","12.7"
"Other","Mental health trusts","10.0"
