"Title","Economic inactivity among men by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Highest qualification held",""
"All","All","13%"
"All","Level 4 and above","8%"
"All","Level 3","11%"
"All","Level 2","15%"
"All","Below Level 2","16%"
"All","Other qualifications","13%"
"All","No qualifications","39%"
"Asian","All","13%"
"Asian","Level 4 and above","6%"
"Asian","Level 3","11%"
"Asian","Level 2","23%"
"Asian","Below Level 2","18%"
"Asian","Other qualifications","13%"
"Asian","No qualifications","31%"
"Black","All","14%"
"Black","Level 4 and above","5%"
"Black","Level 3","10%"
"Black","Level 2","25%"
"Black","Below Level 2","20%"
"Black","Other qualifications","15%"
"Black","No qualifications","45%"
"Mixed","All","17%"
"Mixed","Level 4 and above","9%"
"Mixed","Level 3","10%"
"Mixed","Level 2","19%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","13%"
"White","Level 4 and above","8%"
"White","Level 3","10%"
"White","Level 2","14%"
"White","Below Level 2","16%"
"White","Other qualifications","13%"
"White","No qualifications","40%"
"Other","All","16%"
"Other","Level 4 and above","8%"
"Other","Level 3","19%"
"Other","Level 2","32%"
"Other","Below Level 2","?"
"Other","Other qualifications","16%"
"Other","No qualifications","31%"
