"Title","Economic inactivity by ethnicity (White and Other)"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","January 2004"

"Ethnicity","%","Number"
"All","22","8,835,000"
"White","21","7,087,000"
"Other","30","1,737,000"
