"Title","Economic inactivity by ethnicity and gender"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"","Women","","Men",""
"Ethnicity","%","Number","%","Number"
"All","27","5,497,000","17","3,339,000"
"Indian","32","177,000","14","84,000"
"Asian other","41","181,000","25","94,000"
"Pakistani/Bangladeshi","59","330,000","21","130,000"
"Black","29","214,000","21","123,000"
"Mixed","31","87,000","24","56,000"
"White British","26","3,971,000","17","2,619,000"
"White other","23","362,000","9","135,000"
"Other","45","168,000","24","92,000"
