"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","24","24","23","23","23","23","24","24","23","23","23","22","22","22"
"Asian","37","37","36","36","35","34","34","N/A","33","33","32","32","32","31"
"Indian","27","26","25","26","26","25","24","N/A","23","24","24","24","23","22"
"Pakistani and Bangladeshi","49","49","48","48","46","44","44","N/A","42","41","40","40","39","39"
"Asian other inc Chinese","36","36","34","33","31","32","36","N/A","34","36","33","32","34","32"
"Black","31","30","28","28","28","29","28","N/A","27","26","27","26","25","26"
"Mixed","29","30","27","28","31","30","28","N/A","29","26","28","28","28","27"
"White","23","22","22","22","22","22","23","N/A","22","22","21","21","21","20"
"White British","22","22","22","22","22","22","23","N/A","22","22","22","21","21","21"
"White other","25","23","21","21","21","21","21","N/A","20","19","19","17","17","16"
"Other","38","36","36","36","35","36","35","N/A","35","35","37","35","34","33"
