"Title","Economic inactivity by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","December 2017"

"Ethnicity","%","Total economically inactive"
"All","22","8,629,000"
"Asian","31","982,000"
"Indian","22","247,000"
"Pakistani and Bangladeshi","39","474,000"
"Asian other inc Chinese","32","262,000"
"Black","26","341,000"
"Mixed","27","147,000"
"White","20","6,885,000"
"White British","21","6,379,000"
"White other","16","506,000"
"Other","33","261,000"
