"Title","Unemployed women by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Highest qualification",""
"All","All","3%"
"All","Level 4 and above","3%"
"All","Level 3","3%"
"All","Level 2","4%"
"All","Below level 2","5%"
"All","Other qualifications","4%"
"All","No qualifications","4%"
"Asian","All","5%"
"Asian","Level 4 and above","4%"
"Asian","Level 3","5%"
"Asian","Level 2","6%"
"Asian","Below level 2","11%"
"Asian","Other qualifications","4%"
"Asian","No qualifications","2%"
"Black ","All","6%"
"Black ","Level 4 and above","5%"
"Black ","Level 3","7%"
"Black ","Level 2","9%"
"Black ","Below level 2","10%"
"Black ","Other qualifications","6%"
"Black ","No qualifications","6%"
"Mixed","All","7%"
"Mixed","Level 4 and above","9%"
"Mixed","Level 3","1%"
"Mixed","Level 2","9%"
"Mixed","Below level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","3%"
"White","Level 4 and above","2%"
"White","Level 3","3%"
"White","Level 2","3%"
"White","Below level 2","4%"
"White","Other qualifications","4%"
"White","No qualifications","4%"
"Other","All","4%"
"Other","Level 4 and above","4%"
"Other","Level 3","4%"
"Other","Level 2","9%"
"Other","Below level 2","5%"
"Other","Other qualifications","1%"
"Other","No qualifications","1%"
