"Title","Unemployment by ethnicity and age"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"Standard Ethnicity","Age group","%","Total unemployed"
"White","16-24","12","450,000"
"White","25-49","3","504,000"
"White","50-64","3","241,000"
"White","65+","2","17,000"
"White","All","4","1,212,000"
"Other","16-24","23","120,000"
"Other","25-49","6","174,000"
"Other","50-64","6","42,000"
"Other","65+","?","?"
"Other","All","8","338,000"
