"Title","Unemployment by ethnicity and area"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"","White","","Other",""
"Region","%","Total unemployed","%","Total unemployed"
"All","4","1,212,000","8","338,000"
"East Midlands","4","88,000","?","13,000"
"East of England","4","104,000","?","16,000"
"London","4","119,000","9","153,000"
"North East","6","79,000","?","6,000"
"North West","5","150,000","9","31,000"
"Scotland","5","122,000","?","7,000"
"South East","4","160,000","7","28,000"
"South West","4","104,000","?","10,000"
"Wales","5","66,000","?","3,000"
"West Midlands","5","103,000","11","51,000"
"Yorkshire and The Humber","5","118,000","?","21,000"
