"Title","Unemployment by ethnicity and gender"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","January 2004"

"","Female","","Male",""
"Ethnicity","%","Unemployed people","%","Unemployed people"
"White","4","550,000","4","662,000"
"All other ethnic groups","9","160,000","8","177,000"
