"Title","Unemployment over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","5","5","5","5","6","8","8","8","8","8","6","5","5"
"Indian","7","7","8","7","7","9","8","N/A","10","9","6","7","5"
"Pakistani/Bangladeshi","13","13","15","15","15","17","16","N/A","17","18","14","12","11"
"Asian other","9","8","8","9","7","9","9","N/A","10","9","8","7","6"
"Black","13","14","13","13","14","18","16","N/A","17","17","15","12","10"
"Mixed","12","12","?","12","13","14","15","N/A","16","16","13","11","11"
"White British","4","4","5","5","5","7","7","N/A","7","7","6","5","4"
"White other","6","6","5","5","5","7","6","N/A","6","6","6","5","4"
"Other","11","11","13","10","11","12","13","N/A","14","13","10","9","7"
