"Title","Percentage of young people not in employment, education, or training by ethnicity and economic activity"
"Location","UK"
"Time period","2014, 2015 and 2016 (combined)"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/aboutus/whatwedo/paidservices/virtualmicrodatalaboratoryvml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"","Unemployed","Inactive"
"Ethnicity","%","%"
"All","5.6","7.2"
"Bangladeshi","7.5","7.5"
"Chinese"," ? "," ? "
"Indian","4.8","6.0"
"Pakistani","8.5","7.8"
"Asian other"," ? ","4.6"
"Black","7.1","6.4"
"Mixed","7.3","6.7"
"White","5.6","7.3"
"Other","3.3","6.1"
