"Title","Percentage of young people not in employment, education or training by ethnicity"
"Location","UK"
"Time period","2014, 2015 and 2016 (combined)"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/aboutus/whatwedo/paidservices/virtualmicrodatalaboratoryvml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","%"
"All","12.8"
"Bangladeshi","15.0"
"Chinese","6.2"
"Indian","10.9"
"Pakistani","16.2"
"Asian other","6.5"
"Black","13.6"
"Mixed","14.0"
"White","12.9"
"Other","9.4"
