Date,Date type,Region,Region type,Ethnicity,Ethnicity type,Numerator,Numerator type,Denominator,Denominator type,Rate,Rate type
2011,Calendar Year,East,Government Region,All,All,"53,056",Average number of claimants a month matching geographic and ethnicity status,"3,719,075",Number of people in the population matching geographic and ethnicity status,1.4,Percentage of Numerator / Denominator
2012,Calendar Year,East,Government Region,All,All,"86,325",Average number of claimants a month matching geographic and ethnicity status,"3,708,367",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2013,Calendar Year,East,Government Region,All,All,"128,830",Average number of claimants a month matching geographic and ethnicity status,"3,712,614",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2014,Calendar Year,East,Government Region,All,All,"155,895",Average number of claimants a month matching geographic and ethnicity status,"3,733,587",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2015,Calendar Year,East,Government Region,All,All,"168,833",Average number of claimants a month matching geographic and ethnicity status,"3,755,306",Number of people in the population matching geographic and ethnicity status,4.5,Percentage of Numerator / Denominator
2011,Calendar Year,East Midlands,Government Region,All,All,"46,903",Average number of claimants a month matching geographic and ethnicity status,"2,919,158",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2012,Calendar Year,East Midlands,Government Region,All,All,"81,038",Average number of claimants a month matching geographic and ethnicity status,"2,912,231",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2013,Calendar Year,East Midlands,Government Region,All,All,"123,984",Average number of claimants a month matching geographic and ethnicity status,"2,912,966",Number of people in the population matching geographic and ethnicity status,4.3,Percentage of Numerator / Denominator
2014,Calendar Year,East Midlands,Government Region,All,All,"150,384",Average number of claimants a month matching geographic and ethnicity status,"2,923,197",Number of people in the population matching geographic and ethnicity status,5.1,Percentage of Numerator / Denominator
2015,Calendar Year,East Midlands,Government Region,All,All,"161,818",Average number of claimants a month matching geographic and ethnicity status,"2,937,792",Number of people in the population matching geographic and ethnicity status,5.5,Percentage of Numerator / Denominator
2011,Calendar Year,All,England and Wales,All,All,"643,141",Average number of claimants a month matching geographic and ethnicity status,"36,288,896",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2012,Calendar Year,All,England and Wales,All,All,"1,080,810",Average number of claimants a month matching geographic and ethnicity status,"36,238,632",Number of people in the population matching geographic and ethnicity status,3.0,Percentage of Numerator / Denominator
2013,Calendar Year,All,England and Wales,All,All,"1,591,428",Average number of claimants a month matching geographic and ethnicity status,"36,278,017",Number of people in the population matching geographic and ethnicity status,4.4,Percentage of Numerator / Denominator
2014,Calendar Year,All,England and Wales,All,All,"1,932,095",Average number of claimants a month matching geographic and ethnicity status,"36,397,802",Number of people in the population matching geographic and ethnicity status,5.3,Percentage of Numerator / Denominator
2015,Calendar Year,All,England and Wales,All,All,"2,083,783",Average number of claimants a month matching geographic and ethnicity status,"36,588,665",Number of people in the population matching geographic and ethnicity status,5.7,Percentage of Numerator / Denominator
2011,Calendar Year,London,Government Region,All,All,"92,428",Average number of claimants a month matching geographic and ethnicity status,"5,664,416",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2012,Calendar Year,London,Government Region,All,All,"152,690",Average number of claimants a month matching geographic and ethnicity status,"5,703,747",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2013,Calendar Year,London,Government Region,All,All,"218,931",Average number of claimants a month matching geographic and ethnicity status,"5,756,205",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2014,Calendar Year,London,Government Region,All,All,"264,728",Average number of claimants a month matching geographic and ethnicity status,"5,823,490",Number of people in the population matching geographic and ethnicity status,4.5,Percentage of Numerator / Denominator
2015,Calendar Year,London,Government Region,All,All,"288,559",Average number of claimants a month matching geographic and ethnicity status,"5,907,762",Number of people in the population matching geographic and ethnicity status,4.9,Percentage of Numerator / Denominator
2011,Calendar Year,North East,Government Region,All,All,"38,634",Average number of claimants a month matching geographic and ethnicity status,"1,681,674",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2012,Calendar Year,North East,Government Region,All,All,"65,116",Average number of claimants a month matching geographic and ethnicity status,"1,670,967",Number of people in the population matching geographic and ethnicity status,3.9,Percentage of Numerator / Denominator
2013,Calendar Year,North East,Government Region,All,All,"98,501",Average number of claimants a month matching geographic and ethnicity status,"1,667,446",Number of people in the population matching geographic and ethnicity status,5.9,Percentage of Numerator / Denominator
2014,Calendar Year,North East,Government Region,All,All,"119,161",Average number of claimants a month matching geographic and ethnicity status,"1,663,362",Number of people in the population matching geographic and ethnicity status,7.2,Percentage of Numerator / Denominator
