"Title","Economic inactivity by ethnicity and gender"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"Jan16-Dec16","Inactive","All","All","Female","All","16-64","5,497,000","20,049,280","24,595","27","0.6"
"Jan16-Dec16","Inactive","All","All","Male","All","16-64","3,339,000","19,797,151","14,434","17","0.6"
"Jan16-Dec16","Inactive","All","Asian - Indian","Female","All","16-64","177,000","546,602","694","32","5.5"
"Jan16-Dec16","Inactive","All","Asian - Indian","Male","All","16-64","84,000","587,427","325","14","6"
"Jan16-Dec16","Inactive","All","Asian - Other","Female","All","16-64","181,000","442,388","646","41","6"
"Jan16-Dec16","Inactive","All","Asian - Other","Male","All","16-64","94,000","377,030","310","25","7.6"
"Jan16-Dec16","Inactive","All","Asian - Pakistani/Bangladeshi","Female","All","16-64","330,000","562,950","1,320","59","4.2"
"Jan16-Dec16","Inactive","All","Asian - Pakistani/Bangladeshi","Male","All","16-64","130,000","615,552","458","21","5.9"
"Jan16-Dec16","Inactive","All","Black","Female","All","16-64","214,000","743,237","721","29","5.2"
"Jan16-Dec16","Inactive","All","Black","Male","All","16-64","123,000","588,592","429","21","6.1"
"Jan16-Dec16","Inactive","All","Mixed","Female","All","16-64","87,000","276,099","307","31","8.2"
"Jan16-Dec16","Inactive","All","Mixed","Male","All","16-64","56,000","232,379","188","24","9.7"
"Jan16-Dec16","Inactive","All","White - British","Female","All","16-64","3,971,000","15,538,303","18,913","26","1"
"Jan16-Dec16","Inactive","All","White - British","Male","All","16-64","2,619,000","15,539,162","11,931","17","1.1"
"Jan16-Dec16","Inactive","All","White - Other","Female","All","16-64","362,000","1,549,670","1,367","23","3.5"
"Jan16-Dec16","Inactive","All","White - Other","Male","All","16-64","135,000","1,445,236","468","9","4.2"
"Jan16-Dec16","Inactive","All","Other","Female","All","16-64","168,000","373,011","600","45","6.3"
"Jan16-Dec16","Inactive","All","Other","Male","All","16-64","92,000","392,560","304","24","7.5"
