"Title","Employment by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value"
"All","All","All","16-64","29,478,000","39,846,431","165,840","74"
"White","All","All","16-64","25,790,000","34,072,371","145,616","76"
"Asian","All","All","16-64","1,978,000","3,131,949","11,411","63"
"Asian - Indian","All","All","16-64","828,000","1,134,029","4,232","73"
"Asian - Other","All","All","16-64","513,000","819,418","2,801","63"
"Asian - Pakistani/Bangladeshi","All","All","16-64","637,000","1,178,502","4,378","54"
"Black","All","All","16-64","891,000","1,331,829","4,400","67"
"Mixed","All","All","16-64","326,000","508,478","1,688","64"
"White - British","All","All","16-64","23,397,000","31,077,465","135,196","75"
"White - Other","All","All","16-64","2,393,000","2,994,906","10,420","80"
"Other","All","All","16-64","468,000","765,571","2,590","61"
