"Title","Employment by ethnicity and gender"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"Jan16-Dec16","Employed","All","All","Women","All","16-64","13,849,813","20,049,280","87,049","69","0.3"
"Jan16-Dec16","Employed","All","All","Men","All","16-64","15,628,084","19,797,151","78,791","79","0.3"
"Jan16-Dec16","Employed","All","Asian - Indian","Women","All","16-64","350,485","546,602","2,126","64","3.2"
"Jan16-Dec16","Employed","All","Asian - Indian","Men","All","16-64","477,798","587,427","2,106","81","2.6"
"Jan16-Dec16","Employed","All","Asian - Other ","Women","All","16-64","243,271","442,388","1,590","55","3.9"
"Jan16-Dec16","Employed","All","Asian - Other ","Men","All","16-64","270,027","377,030","1,211","72","4"
"Jan16-Dec16","Employed","All","Asian - Pakistani/Bangladeshi","Women","All","16-64","197,063","562,950","2,216","35","3.1"
"Jan16-Dec16","Employed","All","Asian - Pakistani/Bangladeshi","Men","All","16-64","439,857","615,552","2,162","72","3"
"Jan16-Dec16","Employed","All","Black","Women","All","16-64","475,333","743,237","2,478","64","3"
"Jan16-Dec16","Employed","All","Black","Men","All","16-64","415,841","588,592","1,922","71","3.2"
"Jan16-Dec16","Employed","All","Mixed","Women","All","16-64","170,522","276,099","956","62","4.9"
"Jan16-Dec16","Employed","All","Mixed","Men","All","16-64","155,803","232,379","732","67","5.4"
"Jan16-Dec16","Employed","All","White - British","Women","All","16-64","11,086,228","15,538,303","70,596","71","0.5"
"Jan16-Dec16","Employed","All","White - British","Men","All","16-64","12,311,240","15,539,162","64,600","79","0.5"
"Jan16-Dec16","Employed","All","White - Other","Women","All","16-64","1,126,110","1,549,670","5,693","73","1.8"
"Jan16-Dec16","Employed","All","White - Other","Men","All","16-64","1,266,553","1,445,236","4,727","88","1.5"
"Jan16-Dec16","Employed","All","Other","Women","All","16-64","190,958","373,011","1,330","51","4.2"
"Jan16-Dec16","Employed","All","Other","Men","All","16-64","277,499","392,560","1,260","71","4"
