"Title","Unemployment by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value"
"Jan16-Dec16","Unemployed","All","All","All","All","16+","1,551,000","32,188,986","6,250","5"
"Jan16-Dec16","Unemployed","All","White","All","All","16+","1,212,000","28,112,896","5,152","4"
"Jan16-Dec16","Unemployed","All","Asian","All","All","16+","158,000","2,164,935","528","7"
"Jan16-Dec16","Unemployed","All","Asian - Indian","All","All","16+","45,000","889,259","151","5"
"Jan16-Dec16","Unemployed","All","Asian - Other","All","All","16+","31,000","552,659","104","5"
"Jan16-Dec16","Unemployed","All","Asian - Pakistani/Bangladeshi","All","All","16+","82,000","723,017","273","11"
"Jan16-Dec16","Unemployed","All","Black","All","All","16+","104,000","1,002,613","323","10"
"Jan16-Dec16","Unemployed","All","Mixed","All","All","16+","40,000","369,558","119","10"
"Jan16-Dec16","Unemployed","All","White - British","All","All","16+","1,106,000","25,572,975","4,759","4"
"Jan16-Dec16","Unemployed","All","White - Other","All","All","16+","106,000","2,539,921","393","4"
"Jan16-Dec16","Unemployed","All","Other","All","All","16+","37,000","513,182","123","7"
