"Title","Average hourly pay by ethnicity"
"Location","United Kingdom"
"Time period","2013 to 2016"
"Data source","Labour Force Survey https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=59"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Time","Ethnicity","Value"
"Jan-Mar 2013","Black","11.97"
"Jan-Mar 2013","Indian","13.36"
"Jan-Mar 2013","Mixed","16.34"
"Jan-Mar 2013","Other","13.57"
"Jan-Mar 2013","Pakistani/Bangladeshi","9.82"
"Jan-Mar 2013","White","13.01"
"Apr-Jun 2013","Black","11.39"
"Apr-Jun 2013","Indian","14.34"
"Apr-Jun 2013","Mixed","13.57"
"Apr-Jun 2013","Other","12.68"
"Apr-Jun 2013","Pakistani/Bangladeshi","11.32"
"Apr-Jun 2013","White","13.14"
"Jul-Sep 2013","Black","12.74"
"Jul-Sep 2013","Indian","14.87"
"Jul-Sep 2013","Mixed","12.48"
"Jul-Sep 2013","Other","12.04"
"Jul-Sep 2013","Pakistani/Bangladeshi","10.48"
"Jul-Sep 2013","White","13.18"
"Oct-Dec 2013","Black","12.18"
"Oct-Dec 2013","Indian","14.02"
"Oct-Dec 2013","Mixed","11.10"
"Oct-Dec 2013","Other","12.67"
"Oct-Dec 2013","Pakistani/Bangladeshi","10.38"
"Oct-Dec 2013","White","13.01"
"Jan-Mar 2014","Black","12.85"
"Jan-Mar 2014","Indian","14.15"
"Jan-Mar 2014","Mixed","12.77"
"Jan-Mar 2014","Other","12.46"
"Jan-Mar 2014","Pakistani/Bangladeshi","10.96"
"Jan-Mar 2014","White","13.19"
"Apr-Jun 2014","Black","11.46"
"Apr-Jun 2014","Indian","14.08"
"Apr-Jun 2014","Mixed","11.39"
"Apr-Jun 2014","Other","11.98"
"Apr-Jun 2014","Pakistani/Bangladeshi","11.31"
"Apr-Jun 2014","White","13.17"
"Jul-Sep 2014","Black","12.22"
"Jul-Sep 2014","Indian","14.77"
"Jul-Sep 2014","Mixed","15.25"
"Jul-Sep 2014","Other","15.27"
"Jul-Sep 2014","Pakistani/Bangladeshi","9.07"
"Jul-Sep 2014","White","13.27"
"Oct-Dec 2014","Black","11.68"
"Oct-Dec 2014","Indian","14.35"
"Oct-Dec 2014","Mixed","15.17"
"Oct-Dec 2014","Other","12.21"
"Oct-Dec 2014","Pakistani/Bangladeshi","10.62"
"Oct-Dec 2014","White","13.29"
"Jan-Mar 2015","Black","11.07"
"Jan-Mar 2015","Indian","14.55"
"Jan-Mar 2015","Mixed","12.47"
"Jan-Mar 2015","Other","12.45"
"Jan-Mar 2015","Pakistani/Bangladeshi","12.24"
"Jan-Mar 2015","White","13.42"
"Apr-Jun 2015","Black","12.04"
"Apr-Jun 2015","Indian","14.47"
"Apr-Jun 2015","Mixed","13.21"
"Apr-Jun 2015","Other","12.53"
"Apr-Jun 2015","Pakistani/Bangladeshi","11.84"
"Apr-Jun 2015","White","13.57"
"Jul-Sep 2015","Black","11.73"
"Jul-Sep 2015","Indian","14.84"
"Jul-Sep 2015","Mixed","12.54"
"Jul-Sep 2015","Other","13.30"
"Jul-Sep 2015","Pakistani/Bangladeshi","11.28"
"Jul-Sep 2015","White","13.42"
"Oct-Dec 2015","Black","12.00"
"Oct-Dec 2015","Indian","15.92"
"Oct-Dec 2015","Mixed","13.68"
"Oct-Dec 2015","Other","13.98"
"Oct-Dec 2015","Pakistani/Bangladeshi","12.67"
"Oct-Dec 2015","White","13.49"
"Jan-Mar 2016","Black","11.75"
"Jan-Mar 2016","Indian","16.03"
"Jan-Mar 2016","Mixed","14.69"
"Jan-Mar 2016","Other","13.14"
"Jan-Mar 2016","Pakistani/Bangladeshi","12.24"
"Jan-Mar 2016","White","13.56"
"Apr-Jun 2016","Black","12.27"
"Apr-Jun 2016","Indian","14.86"
"Apr-Jun 2016","Mixed","14.95"
"Apr-Jun 2016","Other","14.80"
"Apr-Jun 2016","Pakistani/Bangladeshi","12.35"
"Apr-Jun 2016","White","13.79"
"Jul-Sep 2016","Black","11.80"
"Jul-Sep 2016","Indian","14.90"
"Jul-Sep 2016","Mixed","13.04"
"Jul-Sep 2016","Other","14.57"
"Jul-Sep 2016","Pakistani/Bangladeshi","10.84"
"Jul-Sep 2016","White","13.89"
"Oct-Dec 2016","Black","11.88"
"Oct-Dec 2016","Indian","15.81"
"Oct-Dec 2016","Mixed","14.61"
"Oct-Dec 2016","Other","13.03"
"Oct-Dec 2016","Pakistani/Bangladeshi","11.42"
"Oct-Dec 2016","White","13.75"
