"Title","Service personnel (all other ranks) over time"
"Location","Other"
"Time period","2012 to 2017"
"Data source","UK armed forces biannual diversity statistics https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2017"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Service","Rank","NATO_code","Year","Value"
"BAME","All Services","Other Ranks","All","Apr-12","7.9"
"BAME","All Services","Other Ranks","All","Apr-13","8.1"
"BAME","All Services","Other Ranks","All","Apr-14","8.1"
"BAME","All Services","Other Ranks","All","Apr-15","8"
"BAME","All Services","Other Ranks","All","Apr-16","8"
"BAME","All Services","Other Ranks","All","Apr-17","8.3"
"BAME","Army","Other Ranks","All","Apr-12","11.1"
"BAME","Army","Other Ranks","All","Apr-13","11.4"
"BAME","Army","Other Ranks","All","Apr-14","11.6"
"BAME","Army","Other Ranks","All","Apr-15","11.5"
"BAME","Army","Other Ranks","All","Apr-16","11.5"
"BAME","Army","Other Ranks","All","Apr-17","11.9"
"BAME","Royal Air Force","Other Ranks","All","Apr-12","1.9"
"BAME","Royal Air Force","Other Ranks","All","Apr-13","2"
"BAME","Royal Air Force","Other Ranks","All","Apr-14","2"
"BAME","Royal Air Force","Other Ranks","All","Apr-15","2.1"
"BAME","Royal Air Force","Other Ranks","All","Apr-16","2.2"
"BAME","Royal Air Force","Other Ranks","All","Apr-17","2.3"
"BAME","Royal Navy/Royal Marines","Other Ranks","All","Apr-12","4"
"BAME","Royal Navy/Royal Marines","Other Ranks","All","Apr-13","3.9"
"BAME","Royal Navy/Royal Marines","Other Ranks","All","Apr-14","3.9"
"BAME","Royal Navy/Royal Marines","Other Ranks","All","Apr-15","4"
"BAME","Royal Navy/Royal Marines","Other Ranks","All","Apr-16","3.9"
"BAME","Royal Navy/Royal Marines","Other Ranks","All","Apr-17","3.9"
