"Title","Police workforce by ethnicity and type of police work"
"Location","England and Wales"
"Time period","2016"
"Data source","Police workforce, England and Wales https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Rank","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 100,000 population by ethnicity, gender, and PFA (Based on FTE except Special Constables)","Value","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"Asian","Community Support Officer","446","456","3,820,390","11.67","4.1%","6.8%"
"Asian","Designated Officer","102","105","3,820,390","2.68","2.6%","6.8%"
"Asian","Police Officer","2,881","2,925","3,820,390","75.42","2.4%","6.8%"
"Asian","Police Staff","1,833","1,957","3,820,390","47.98","3.1%","6.8%"
"Asian","Special Constable","0","932","3,820,390","24.40","6.3%","6.8%"
"Asian","Traffic Warden","0","0","3,820,390","0.00","0.0%","6.8%"
"Black","Community Support Officer","306","310","1,864,890","16.39","2.8%","3.3%"
"Black","Designated Officer","113","114","1,864,890","6.09","2.9%","3.3%"
"Black","Police Officer","1,433","1,454","1,864,890","76.84","1.2%","3.3%"
"Black","Police Staff","1,423","1,491","1,864,890","76.31","2.4%","3.3%"
"Black","Special Constable","0","275","1,864,890","14.75","1.9%","3.3%"
"Black","Traffic Warden","0","0","1,864,890","0.00","0.0%","3.3%"
"Mixed","Community Support Officer","159","165","1,224,400","12.96","1.5%","2.2%"
"Mixed","Designated Officer","56","58","1,224,400","4.61","1.4%","2.2%"
"Mixed","Police Officer","2,096","2,129","1,224,400","171.22","1.7%","2.2%"
"Mixed","Police Staff","572","613","1,224,400","46.71","1.0%","2.2%"
"Mixed","Special Constable","0","317","1,224,400","25.89","2.1%","2.2%"
"Mixed","Traffic Warden","0","0","1,224,400","0.00","0.0%","2.2%"
"Other","Community Support Officer","115","118","956,837","12.06","1.1%","1.7%"
"Other","Designated Officer","25","25","956,837","2.60","0.6%","1.7%"
"Other","Police Officer","808","819","956,837","84.40","0.7%","1.7%"
"Other","Police Staff","400","427","956,837","41.78","0.7%","1.7%"
"Other","Special Constable","0","185","956,837","19.33","1.3%","1.7%"
"Other","Traffic Warden","0","0","956,837","0.00","0.0%","1.7%"
"White","Community Support Officer","9,722","10,123","48,209,395","20.17","90.5%","86.0%"
"White","Designated Officer","3,628","3,778","48,209,395","7.53","92.4%","86.0%"
"White","Police Officer","114,437","116,991","48,209,395","237.37","94.1%","86.0%"
"White","Police Staff","54,931","60,263","48,209,395","113.94","92.9%","86.0%"
"White","Special Constable","0","13,075","48,209,395","27.12","88.4%","86.0%"
"White","Traffic Warden","13","13","48,209,395","0.03","100.0%","86.0%"
