"Title","Number of prison officers by ethnicity"
"Location","England and Wales"
"Time period","31/03/2013 to 31/03/2016"
"Data source","NOMS Annual Staff Equalities report https://www.gov.uk/government/statistics/noms-annual-staff-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Date","Ethnic Group","Percentage of staff in post","All","Value"
"2013","Asian or Asian British","1.2","26480","320"
"2013","Black or Black British","2.7","26480","710"
"2013","Chinese or Other ethnic group","0.7","26480","190"
"2013","Mixed Ethnic Groups","1.1","26480","300"
"2013","White","94.3","26480","24960"
"2013","Not Known / Prefer not to say","N/A","26480","2620"
"2014","Asian or Asian British","1.3","21990","290"
"2014","Black or Black British","2.8","21990","610"
"2014","Chinese or Other ethnic group","0.7","21990","160"
"2014","Mixed Ethnic Groups","1.1","21990","240"
"2014","White","94.1","21990","20690"
"2014","Not Known / Prefer not to say","N/A","21990","2320"
"2015","Asian or Asian British","1.2","17107","206"
"2015","Black or Black British","2.3","17107","401"
"2015","Chinese or Other ethnic group","0.7","17107","121"
"2015","Mixed Ethnic Groups","1.2","17107","199"
"2015","White","94.6","17107","16180"
"2015","Not Known / Prefer not to say","N/A","17107","1851"
"2016","Asian or Asian British","1.3","16448","206"
"2016","Black or Black British","2.4","16448","396"
"2016","Chinese or Other ethnic group","0.7","16448","108"
"2016","Mixed Ethnic Groups","1.3","16448","213"
"2016","White","94.4","16448","15525"
"2016","Not Known / Prefer not to say","N/A","16448","2641"
