"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Denominator","Numerator"
"Percentage of prison officers in post (headcount)",2013-03-31,"Date","Asian","ONS 5+1 2011",1.2,26480,320
"Percentage of prison officers in post (headcount)",2013-03-31,"Date","Black","ONS 5+1 2011",2.7,26480,710
"Percentage of prison officers in post (headcount)",2013-03-31,"Date","Other","ONS 5+1 2011",0.7,26480,190
"Percentage of prison officers in post (headcount)",2013-03-31,"Date","Mixed","ONS 5+1 2011",1.1,26480,300
"Percentage of prison officers in post (headcount)",2013-03-31,"Date","White","ONS 5+1 2011",94.3,26480,24960
"Percentage of prison officers in post (headcount)",2013-03-31,"Date","Not Known / Prefer not to say","ONS 5+1 2011",9.9,26480,2620
"Percentage of prison officers in post (headcount)",2014-03-31,"Date","Asian","ONS 5+1 2011",1.3,21990,290
"Percentage of prison officers in post (headcount)",2014-03-31,"Date","Black","ONS 5+1 2011",2.8,21990,610
"Percentage of prison officers in post (headcount)",2014-03-31,"Date","Other","ONS 5+1 2011",0.7,21990,160
"Percentage of prison officers in post (headcount)",2014-03-31,"Date","Mixed","ONS 5+1 2011",1.1,21990,240
"Percentage of prison officers in post (headcount)",2014-03-31,"Date","White","ONS 5+1 2011",94.1,21990,20690
"Percentage of prison officers in post (headcount)",2014-03-31,"Date","Not Known / Prefer not to say","ONS 5+1 2011",10.6,21990,2320
"Percentage of prison officers in post (headcount)",2015-03-31,"Date","Asian","ONS 5+1 2011",1.2,17107,206
"Percentage of prison officers in post (headcount)",2015-03-31,"Date","Black","ONS 5+1 2011",2.3,17107,401
"Percentage of prison officers in post (headcount)",2015-03-31,"Date","Other","ONS 5+1 2011",0.7,17107,121
"Percentage of prison officers in post (headcount)",2015-03-31,"Date","Mixed","ONS 5+1 2011",1.2,17107,199
"Percentage of prison officers in post (headcount)",2015-03-31,"Date","White","ONS 5+1 2011",94.6,17107,16180
"Percentage of prison officers in post (headcount)",2015-03-31,"Date","Not Known / Prefer not to say","ONS 5+1 2011",10.8,17107,1851
"Percentage of prison officers in post (headcount)",2016-03-31,"Date","Asian","ONS 5+1 2011",1.3,16448,206
"Percentage of prison officers in post (headcount)",2016-03-31,"Date","Black","ONS 5+1 2011",2.4,16448,396
"Percentage of prison officers in post (headcount)",2016-03-31,"Date","Other","ONS 5+1 2011",0.7,16448,108
"Percentage of prison officers in post (headcount)",2016-03-31,"Date","Mixed","ONS 5+1 2011",1.3,16448,213
"Percentage of prison officers in post (headcount)",2016-03-31,"Date","White","ONS 5+1 2011",94.4,16448,15525
"Percentage of prison officers in post (headcount)",2016-03-31,"Date","Not Known / Prefer not to say","ONS 5+1 2011",16.1,16448,2641
