"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator","Comments"
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","England","Country","All","6.621077","%","25192","380924",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","England","Country","All","15.022876","%","10737","71522",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","London","Grouped region","N/A","7.864543","%","3530","44885",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","Midlands & East","Grouped region","N/A","6.713315","%","7186","107041",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","North","Grouped region","N/A","6.067921","%","7372","121855",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","South","Grouped region","N/A","6.630391","%","7104","107143",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","London","Grouped region","N/A","16.261111","%","4738","29137",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","Midlands & East","Grouped region","N/A","13.977591","%","2495","17850",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","North","Grouped region","N/A","14.82495","%","1571","10648",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","Other","White & Other","South","Grouped region","N/A","13.919493","%","1933","13887",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","N/A","N/A","Acute trust","6.566997","%","17492","266592",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","N/A","N/A","Ambulance trust","11.27454","%","1855","16453",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","N/A","N/A","White","White & Other","N/A","N/A","Community provider trust","5.37832","%","1322","24671",""
