"Ethnicity","Region","£"
"All","UK","26,600"
"All","North East","22,800"
"All","North West","24,500"
"All","Yorkshire and The Humber","25,400"
"All","East Midlands","24,500"
"All","West Midlands","24,700"
"All","East","26,100"
"All","London","33,900"
"All","South East","26,800"
"All","South West","29,300"
"All","Wales","24,500"
"All","Scotland","24,700"
"All","Northern Ireland","23,800"
"All","Unknown","31,100"
"Asian","UK","26,700"
"Asian","North East","20,500"
"Asian","North West","20,500"
"Asian","Yorkshire and The Humber","23,600"
"Asian","East Midlands","22,700"
"Asian","West Midlands","23,400"
"Asian","East","24,500"
"Asian","London","29,000"
"Asian","South East","25,000"
"Asian","South West","29,700"
"Asian","Wales","23,600"
"Asian","Scotland","23,800"
"Asian","Northern Ireland","21,700"
"Asian","Unknown","24,500"
"Black","UK","27,500"
"Black","North East","20,200"
"Black","North West","22,400"
"Black","Yorkshire and The Humber","24,500"
"Black","East Midlands","23,800"
"Black","West Midlands","23,800"
"Black","East","26,700"
"Black","London","28,800"
"Black","South East","25,600"
"Black","South West","28,200"
"Black","Wales","23,800"
"Black","Scotland","22,300"
"Black","Northern Ireland","!"
"Black","Unknown","27,500"
"Chinese","UK","28,600"
"Chinese","North East","19,700"
"Chinese","North West","22,600"
"Chinese","Yorkshire and The Humber","21,600"
"Chinese","East Midlands","23,800"
"Chinese","West Midlands","24,900"
"Chinese","East","29,400"
"Chinese","London","33,700"
"Chinese","South East","25,100"
"Chinese","South West","26,100"
"Chinese","Wales","23,800"
"Chinese","Scotland","22,700"
"Chinese","Northern Ireland","!"
"Chinese","Unknown","N/A"
"Mixed","UK","28,500"
"Mixed","North East","23,800"
"Mixed","North West","24,000"
"Mixed","Yorkshire and The Humber","25,200"
"Mixed","East Midlands","24,500"
"Mixed","West Midlands","24,500"
"Mixed","East","26,000"
"Mixed","London","32,900"
"Mixed","South East","26,500"
"Mixed","South West","29,600"
"Mixed","Wales","24,500"
"Mixed","Scotland","26,100"
"Mixed","Northern Ireland","29,100"
"Mixed","Unknown","31,100"
"White","UK","26,800"
"White","North East","23,800"
"White","North West","24,500"
"White","Yorkshire and The Humber","26,100"
"White","East Midlands","25,400"
"White","West Midlands","26,000"
"White","East","26,700"
"White","London","38,700"
"White","South East","26,800"
"White","South West","29,700"
"White","Wales","24,900"
"White","Scotland","25,400"
"White","Northern Ireland","23,800"
"White","Unknown","26,100"
"Other","UK","29,100"
"Other","North East","24,000"
"Other","North West","24,500"
"Other","Yorkshire and The Humber","26,100"
"Other","East Midlands","25,600"
"Other","West Midlands","25,200"
"Other","East","27,900"
"Other","London","31,400"
"Other","South East","26,100"
"Other","South West","29,200"
"Other","Wales","24,700"
"Other","Scotland","26,100"
"Other","Northern Ireland","!"
"Other","Unknown","24,500"
"Unknown","UK","25,900"
"Unknown","North East","20,400"
"Unknown","North West","22,300"
"Unknown","Yorkshire and The Humber","24,500"
"Unknown","East Midlands","22,300"
"Unknown","West Midlands","24,200"
"Unknown","East","25,700"
"Unknown","London","32,800"
"Unknown","South East","25,900"
"Unknown","South West","26,100"
"Unknown","Wales","22,000"
"Unknown","Scotland","23,000"
"Unknown","Northern Ireland","23,200"
"Unknown","Unknown","31,900"
