"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","All","2,276","2,429"
"Average (mean) monthly basic pay per FTE (£)","Asian","2,209","2,251"
"Average (mean) monthly basic pay per FTE (£)","Black","2,160","2,098"
"Average (mean) monthly basic pay per FTE (£)","Mixed","2,171","2,223"
"Average (mean) monthly basic pay per FTE (£)","White","2,293","2,483"
"Average (mean) monthly basic pay per FTE (£)","Other","2,252","2,245"
"Average (mean) monthly basic pay per FTE (£)","Unknown","2,265","2,566"
"Ethnicity pay gap, relative to White (%)","All","n/a","n/a"
"Ethnicity pay gap, relative to White (%)","Asian","4","9"
"Ethnicity pay gap, relative to White (%)","Black","6","16"
"Ethnicity pay gap, relative to White (%)","Mixed","5","10"
"Ethnicity pay gap, relative to White (%)","White","n/a","n/a"
"Ethnicity pay gap, relative to White (%)","Other","2","10"
"Ethnicity pay gap, relative to White (%)","Unknown","1","-3"
