"","Professionally qualified non-medical","","Support to clinical staff","","Managers and senior managers","","Infrastructure support",""
"Ethnicity","Female","Male","Female","Male","Female","Male","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","","","","","","","",""
"All","2,709","2,759","1,603","1,603","4,679","5,198","1,908","2,064"
"Asian","2,540","2,634","1,551","1,556","4,241","4,790","1,912","2,025"
"Black","2,538","2,592","1,565","1,553","4,218","4,187","1,861","1,875"
"Mixed","2,575","2,672","1,566","1,585","4,341","4,772","1,950","1,984"
"White","2,748","2,799","1,610","1,615","4,698","5,218","1,909","2,080"
"Other","2,624","2,734","1,548","1,561","4,415","4,579","1,823","1,807"
"Unknown","2,624","2,698","1,602","1,646","5,111","5,903","1,933","2,171"
"Ethnicity pay gap, relative to White (%)","","","","","","","",""
"All -","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"Asian -","8","6","4","4","10","8","0","3"
"Black -","8","7","3","4","10","20","2","10"
"Mixed -","6","5","3","2","8","9","-2","5"
"White -","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"Other -","5","2","4","3","6","12","4","13"
"Unknown -","5","4","1","-2","-9","-13","-1","-4"
