"Standard Ethnicity","NATO code","%"
"White","All Officers","97.6"
"White","OF-6 and above","99.1"
"White","OF-5","97.8"
"White","OF-4","98.1"
"White","OF-3","97.4"
"White","OF-2","97.7"
"White","OF-1(D)","97.1"
"White","All Other Ranks","91.4"
"White","OR-9","98.6"
"White","OR-8","96.1"
"White","OR-7","94.8"
"White","OR-6","92.6"
"White","OR-4","89.8"
"White","OR-3","85.2"
"White","OR-1/OR-2","92.0"
"Other","All Officers","2.4"
"Other","OF-6 and above","NA"
"Other","OF-5","2.2"
"Other","OF-4","1.9"
"Other","OF-3","2.6"
"Other","OF-2","2.3"
"Other","OF-1(D)","2.9"
"Other","All Other Ranks","8.6"
"Other","OR-9","1.4"
"Other","OR-8","3.9"
"Other","OR-7","5.2"
"Other","OR-6","7.4"
"Other","OR-4","10.2"
"Other","OR-3","14.8"
"Other","OR-1/OR-2","8.0"
