"Title","Armed forces workforce"
"Location","UK"
"Time period","2012 to 2018"
"Data source","Ministry of Defence"
"Data source link","https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Ethnicity","Service","Rank","NATO_code","Rank","Year","Value","Number","Note","Number_Note"
"All","All Services","All Ranks","All","All","Apr-12","NA","179800","NA","NA"
"All","All Services","All Ranks","All","All","Apr-13","NA","170710","NA","NA"
"All","All Services","All Ranks","All","All","Apr-14","NA","159630","NA","NA"
"All","All Services","All Ranks","All","All","Apr-15","NA","153720","NA","NA"
"All","All Services","All Ranks","All","All","Apr-16","NA","151000","NA","NA"
"All","All Services","All Ranks","All","All","Apr-17","NA","149370","NA","NA"
"All","All Services","All Ranks","All","All","Apr-18","NA","146560","NA","NA"
"All","All Services","All Ranks","All","All","Oct-12","NA","175940","NA","NA"
"All","All Services","All Ranks","All","All","Oct-13","NA","166460","NA","NA"
"All","All Services","All Ranks","All","All","Oct-14","NA","156630","NA","NA"
"All","All Services","All Ranks","All","All","Oct-15","NA","152150","NA","NA"
"All","All Services","All Ranks","All","All","Oct-16","NA","150250","NA","NA"
"All","All Services","All Ranks","All","All","Oct-17","NA","147520","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Apr-12","NA","30700","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Apr-13","NA","29060","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Apr-14","NA","27850","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Apr-15","NA","27230","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Apr-16","NA","26820","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Apr-17","NA","26990","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Apr-18","NA","27200","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Oct-12","NA","30010","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Oct-13","NA","28540","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Oct-14","NA","27680","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Oct-15","NA","27140","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Oct-16","NA","27120","NA","NA"
"All","All Services","Officers","All Officers","All Officers","Oct-17","NA","27300","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Apr-12","NA","4090","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Apr-13","NA","3680","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Apr-14","NA","3530","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Apr-15","NA","3890","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Apr-16","NA","4100","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Apr-17","NA","4460","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Apr-18","NA","4690","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Oct-12","NA","3860","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Oct-13","NA","3610","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Oct-14","NA","3660","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Oct-15","NA","4040","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Oct-16","NA","4410","NA","NA"
"All","All Services","Officers","OF-1(D)","NA","Oct-17","NA","4650","NA","NA"
"All","All Services","Officers","OF-2","NA","Apr-12","NA","12030","NA","NA"
"All","All Services","Officers","OF-2","NA","Apr-13","NA","11440","NA","NA"
"All","All Services","Officers","OF-2","NA","Apr-14","NA","10720","NA","NA"
"All","All Services","Officers","OF-2","NA","Apr-15","NA","9950","NA","NA"
"All","All Services","Officers","OF-2","NA","Apr-16","NA","9410","NA","NA"
"All","All Services","Officers","OF-2","NA","Apr-17","NA","9170","NA","NA"
"All","All Services","Officers","OF-2","NA","Apr-18","NA","9200","NA","NA"
"All","All Services","Officers","OF-2","NA","Oct-12","NA","11660","NA","NA"
"All","All Services","Officers","OF-2","NA","Oct-13","NA","11000","NA","NA"
"All","All Services","Officers","OF-2","NA","Oct-14","NA","10350","NA","NA"
"All","All Services","Officers","OF-2","NA","Oct-15","NA","9680","NA","NA"
"All","All Services","Officers","OF-2","NA","Oct-16","NA","9250","NA","NA"
"All","All Services","Officers","OF-2","NA","Oct-17","NA","9180","NA","NA"
"All","All Services","Officers","OF-3","NA","Apr-12","NA","9050","NA","NA"
"All","All Services","Officers","OF-3","NA","Apr-13","NA","8650","NA","NA"
"All","All Services","Officers","OF-3","NA","Apr-14","NA","8360","NA","NA"
"All","All Services","Officers","OF-3","NA","Apr-15","NA","8190","NA","NA"
"All","All Services","Officers","OF-3","NA","Apr-16","NA","8170","NA","NA"
"All","All Services","Officers","OF-3","NA","Apr-17","NA","8180","NA","NA"
"All","All Services","Officers","OF-3","NA","Apr-18","NA","8130","NA","NA"
"All","All Services","Officers","OF-3","NA","Oct-12","NA","8930","NA","NA"
"All","All Services","Officers","OF-3","NA","Oct-13","NA","8550","NA","NA"
"All","All Services","Officers","OF-3","NA","Oct-14","NA","8370","NA","NA"
"All","All Services","Officers","OF-3","NA","Oct-15","NA","8200","NA","NA"
"All","All Services","Officers","OF-3","NA","Oct-16","NA","8230","NA","NA"
"All","All Services","Officers","OF-3","NA","Oct-17","NA","8220","NA","NA"
"All","All Services","Officers","OF-4","NA","Apr-18","NA","3700","NA","NA"
"All","All Services","Officers","OF-4","NA","Oct-17","NA","3750","NA","NA"
