"Title","Civil Service workforce by ethnicity and gender"
"Location","UK"
"Time period","2016"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Gender","Ethnicity",""
"All","Asian","5.8"
"All","Black","3.1"
"All","Chinese","0.3"
"All","Mixed","1.4"
"All","White","88.8"
"All","Other","0.5"
"Male","Asian","5.3"
"Male","Black","2.4"
"Male","Chinese","0.3"
"Male","Mixed","1.3"
"Male","White","90.1"
"Male","Other","0.6"
"Female","Asian","6.3"
"Female","Black","3.7"
"Female","Chinese","0.3"
"Female","Mixed","1.5"
"Female","White","87.8"
"Female","Other","0.5"
