"Title","Civil Service workforce"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Year","Ethnicity","Grade/Rank/Area/Gender/Age","%","Number ","","","","","","","",""
"2015","All Groups","All grades","N/A","439,320","","","","","","","",""
"2015","Asian","All grades","5.4","18,560","","","","","","","",""
"2015","Black","All grades","3","10,210","","","","","","","",""
"2015","Chinese","All grades","0.3","890","","","","","","","",""
"2015","Mixed","All grades","1.3","4,410","","","","","","","",""
"2015","White","All grades","89.4","305,550","","","","","","","",""
"2015","Other","All grades","0.6","2,040","","","","","","","",""
"2015","Unknown","All grades","N/A","97,670","","","","","","","",""
"2016","All Groups","All grades","N/A","418,340","","","","","","","",""
"2016","Asian","All grades","5.8","18,690","","","","","","","",""
"2016","Black","All grades","3.1","9,950","","","","","","","",""
"2016","Chinese","All grades","0.3","880","","","","","","","",""
"2016","Mixed","All grades","1.4","4,460","","","","","","","",""
"2016","White","All grades","88.8","284,140","","","","","","","",""
"2016","Other","All grades","0.5","1,710","","","","","","","",""
"2016","Unknown","All grades","N/A","98,510","","","","","","","",""
"2017","All Groups","All grades","N/A","419,400","","","","","","","",""
"2017","Asian","All grades","6.2","19,780","","","","","","","",""
"2017","Black","All grades","3.2","10,230","","","","","","","",""
"2017","Chinese","All grades","0.3","910","","","","","","","",""
"2017","Mixed","All grades","1.5","4,740","","","","","","","",""
"2017","White","All grades","88.4","283,740","","","","","","","",""
"2017","Other","All grades","0.5","1,750","","","","","","","",""
"2017","Unknown","All grades","N/A","98,250","","","","","","","",""
"2018","All Groups","All grades","N/A","430,080","","","","","","","",""
"2018","Asian","All grades","6.4","20,470","","","","","","","",""
"2018","Black","All grades","3.2","10,350","","","","","","","",""
"2018","Chinese","All grades","0.3","960","","","","","","","",""
"2018","Mixed","All grades","1.5","4,950","","","","","","","",""
"2018","White","All grades","88","283,300","","","","","","","",""
"2018","Other","All grades","0.5","1,740","","","","","","","",""
"2018","Unknown","All grades","N/A","108,310","","","","","","","",""
"2015","Asian","Administrative officers and assistants","5.9","7,820","","","","","","","",""
"2015","Asian","Executive officer","6.2","5,650","","","","","","","",""
"2015","Asian","Senior and higher executive officer","4.6","3,710","","","","","","","",""
