"Role","Ethnicity","% 2011","Number 2011","% 2017","Number 2017"
"Firefighters","Asian","0.5","212","0.5","171"
"Firefighters","Black","1.3","519","1.4","428"
"Firefighters","Mixed","1.2","473","1.6","507"
"Firefighters","White","96.5","37,635","96.1","30,328"
"Firefighters","Other inc Chinese","0.4","174","0.4","138"
"Firefighters","Unknown","N/A ","4,347","N/A ","4,048"
"Fire control","Asian","0.3","5","0.3","3"
"Fire control","Black","0.6","8","0.9","9"
"Fire control","Mixed","1.2","17","2.1","22"
"Fire control","White","97.7","1,407","96.7","995"
"Fire control","Other inc Chinese","0.2","3","0.0","0"
"Fire control","Unknown","N/A ","116","N/A ","95"
"Support Staff","Asian","2.6","224","2.7","182"
"Support Staff","Black","2.5","215","2.6","173"
"Support Staff","Mixed","0.9","82","1.3","89"
"Support Staff","White","93.3","8,143","92.7","6,247"
"Support Staff","Other inc Chinese","0.7","60","0.7","47"
"Support Staff","Unknown","N/A ","624","N/A ","879"
"All Staff","Asian","0.9","441","0.9","356"
"All Staff","Black","1.5","742","1.6","610"
"All Staff","Mixed","1.2","572","1.6","618"
"All Staff","White","95.9","47,185","95.5","37,570"
"All Staff","Other inc Chinese","0.5","237","0.5","185"
"All Staff","Unknown","N/A ","5,087","N/A ","5,022"
