"Title","Fire and rescue services workforce"
"Location","England"
"Time period","2011 to 2017"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-13"
"Ethnicity","Area","Type","Value","Value_type","Headcount"
"All (excluding Unknowns)","Avon","Fire Control","100","%","33"
"All (excluding Unknowns)","Avon","Retained Duty System firefighters","100","%","199"
"All (excluding Unknowns)","Avon","Support Staff","100","%","112"
"All (excluding Unknowns)","Avon","Total Staff","100","%","808"
"All (excluding Unknowns)","Avon","Total firefighters","100","%","663"
"All (excluding Unknowns)","Avon","Wholetime firefighters","100","%","464"
"All (excluding Unknowns)","Bedfordshire","Fire Control","100","%","11"
"All (excluding Unknowns)","Bedfordshire","Retained Duty System firefighters","100","%","86"
"All (excluding Unknowns)","Bedfordshire","Support Staff","100","%","101"
"All (excluding Unknowns)","Bedfordshire","Total Staff","100","%","374"
"All (excluding Unknowns)","Bedfordshire","Total firefighters","100","%","262"
"All (excluding Unknowns)","Bedfordshire","Wholetime firefighters","100","%","176"
"All (excluding Unknowns)","Berkshire","Fire Control","100","%","33"
"All (excluding Unknowns)","Berkshire","Retained Duty System firefighters","100","%","61"
"All (excluding Unknowns)","Berkshire","Support Staff","100","%","116"
"All (excluding Unknowns)","Berkshire","Total Staff","100","%","590"
"All (excluding Unknowns)","Berkshire","Total firefighters","100","%","441"
"All (excluding Unknowns)","Berkshire","Wholetime firefighters","100","%","380"
"All (excluding Unknowns)","Buckinghamshire","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Buckinghamshire","Retained Duty System firefighters","100","%","130"
"All (excluding Unknowns)","Buckinghamshire","Support Staff","100","%","99"
"All (excluding Unknowns)","Buckinghamshire","Total Staff","100","%","449"
"All (excluding Unknowns)","Buckinghamshire","Total firefighters","100","%","350"
"All (excluding Unknowns)","Buckinghamshire","Wholetime firefighters","100","%","220"
"All (excluding Unknowns)","Cambridgeshire","Fire Control","100","%","36"
"All (excluding Unknowns)","Cambridgeshire","Retained Duty System firefighters","100","%","215"
"All (excluding Unknowns)","Cambridgeshire","Support Staff","100","%","125"
"All (excluding Unknowns)","Cambridgeshire","Total Staff","100","%","634"
"All (excluding Unknowns)","Cambridgeshire","Total firefighters","100","%","473"
"All (excluding Unknowns)","Cambridgeshire","Wholetime firefighters","100","%","258"
"All (excluding Unknowns)","Cheshire","Fire Control","N.A","%","0"
"All (excluding Unknowns)","Cheshire","Retained Duty System firefighters","100","%","265"
"All (excluding Unknowns)","Cheshire","Support Staff","100","%","220"
"All (excluding Unknowns)","Cheshire","Total Staff","100","%","884"
"All (excluding Unknowns)","Cheshire","Total firefighters","100","%","664"
"All (excluding Unknowns)","Cheshire","Wholetime firefighters","100","%","399"
"All (excluding Unknowns)","Cleveland","Fire Control","100","%","21"
"All (excluding Unknowns)","Cleveland","Retained Duty System firefighters","100","%","116"
"All (excluding Unknowns)","Cleveland","Support Staff","100","%","122"
"All (excluding Unknowns)","Cleveland","Total Staff","100","%","588"
"All (excluding Unknowns)","Cleveland","Total firefighters","100","%","445"
"All (excluding Unknowns)","Cleveland","Wholetime firefighters","100","%","329"
"All (excluding Unknowns)","Cornwall","Fire Control","100","%","15"
"All (excluding Unknowns)","Cornwall","Retained Duty System firefighters","100","%","346"
"All (excluding Unknowns)","Cornwall","Support Staff","100","%","114"
"All (excluding Unknowns)","Cornwall","Total Staff","100","%","649"
"All (excluding Unknowns)","Cornwall","Total firefighters","100","%","520"
"All (excluding Unknowns)","Cornwall","Wholetime firefighters","100","%","174"
"All (excluding Unknowns)","Cumbria","Fire Control","N.A","%","0"
