"Ethnicity","Year","Type","Value","Value_type","Headcount"
"All (excluding Unknowns)","2011","Fire Control","100","%","1440"
"All (excluding Unknowns)","2011","Retained Duty System firefighters","100","%","12407"
"All (excluding Unknowns)","2011","Support Staff","100","%","8724"
"All (excluding Unknowns)","2011","Total Staff","100","%","49177"
"All (excluding Unknowns)","2011","Total firefighters","100","%","39013"
"All (excluding Unknowns)","2011","Wholetime firefighters","100","%","26606"
"All (excluding Unknowns)","2012","Fire Control","100","%","1366"
"All (excluding Unknowns)","2012","Retained Duty System firefighters","100","%","12408"
"All (excluding Unknowns)","2012","Support Staff","100","%","8064"
"All (excluding Unknowns)","2012","Total Staff","100","%","48320"
"All (excluding Unknowns)","2012","Total firefighters","100","%","38890"
"All (excluding Unknowns)","2012","Wholetime firefighters","100","%","26482"
"All (excluding Unknowns)","2013","Fire Control","100","%","1314"
"All (excluding Unknowns)","2013","Retained Duty System firefighters","100","%","11778"
"All (excluding Unknowns)","2013","Support Staff","100","%","7755"
"All (excluding Unknowns)","2013","Total Staff","100","%","46363"
"All (excluding Unknowns)","2013","Total firefighters","100","%","37294"
"All (excluding Unknowns)","2013","Wholetime firefighters","100","%","25516"
"All (excluding Unknowns)","2014","Fire Control","100","%","1235"
"All (excluding Unknowns)","2014","Retained Duty System firefighters","100","%","11441"
"All (excluding Unknowns)","2014","Support Staff","100","%","7352"
"All (excluding Unknowns)","2014","Total Staff","100","%","44423"
"All (excluding Unknowns)","2014","Total firefighters","100","%","35836"
"All (excluding Unknowns)","2014","Wholetime firefighters","100","%","24395"
"All (excluding Unknowns)","2015","Fire Control","100","%","1099"
"All (excluding Unknowns)","2015","Retained Duty System firefighters","100","%","10705"
"All (excluding Unknowns)","2015","Support Staff","100","%","7025"
"All (excluding Unknowns)","2015","Total Staff","100","%","41776"
"All (excluding Unknowns)","2015","Total firefighters","100","%","33652"
"All (excluding Unknowns)","2015","Wholetime firefighters","100","%","22947"
"All (excluding Unknowns)","2016","Fire Control","100","%","1050"
"All (excluding Unknowns)","2016","Retained Duty System firefighters","100","%","10820"
"All (excluding Unknowns)","2016","Support Staff","100","%","7027"
"All (excluding Unknowns)","2016","Total Staff","100","%","41353"
"All (excluding Unknowns)","2016","Total firefighters","100","%","33276"
"All (excluding Unknowns)","2016","Wholetime firefighters","100","%","22456"
"All (excluding Unknowns)","2017","Fire Control","100","%","1029"
"All (excluding Unknowns)","2017","Retained Duty System firefighters","100","%","10364"
"All (excluding Unknowns)","2017","Support Staff","100","%","6738"
"All (excluding Unknowns)","2017","Total Staff","100","%","39339"
"All (excluding Unknowns)","2017","Total firefighters","100","%","31572"
"All (excluding Unknowns)","2017","Wholetime firefighters","100","%","21208"
"Asian","2011","Fire Control","0.4","%","5"
"Asian","2011","Retained Duty System firefighters","0.2","%","23"
"Asian","2011","Support Staff","2.6","%","224"
"Asian","2011","Total Staff","0.9","%","441"
"Asian","2011","Total firefighters","0.5","%","212"
"Asian","2011","Wholetime firefighters","0.7","%","189"
"Asian","2012","Fire Control","0.4","%","5"
"Asian","2012","Retained Duty System firefighters","0.1","%","15"
"Asian","2012","Support Staff","2.5","%","203"
"Asian","2012","Total Staff","0.8","%","404"
"Asian","2012","Total firefighters","0.5","%","196"
"Asian","2012","Wholetime firefighters","0.7","%","181"
"Asian","2013","Fire Control","0.4","%","5"
"Asian","2013","Retained Duty System firefighters","0.2","%","20"
"Asian","2013","Support Staff","2.6","%","199"
"Asian","2013","Total Staff","0.9","%","404"
"Asian","2013","Total firefighters","0.5","%","200"
"Asian","2013","Wholetime firefighters","0.7","%","180"
"Asian","2014","Fire Control","0.2","%","3"
"Asian","2014","Retained Duty System firefighters","0.2","%","22"
"Asian","2014","Support Staff","2.6","%","188"
"Asian","2014","Total Staff","0.8","%","367"
"Asian","2014","Total firefighters","0.5","%","176"
"Asian","2014","Wholetime firefighters","0.6","%","154"
"Asian","2015","Fire Control","0.4","%","4"
"Asian","2015","Retained Duty System firefighters","0.3","%","32"
"Asian","2015","Support Staff","2.7","%","189"
"Asian","2015","Total Staff","0.9","%","393"
"Asian","2015","Total firefighters","0.6","%","200"
"Asian","2015","Wholetime firefighters","0.7","%","168"
"Asian","2016","Fire Control","0.3","%","3"
"Asian","2016","Retained Duty System firefighters","0.2","%","23"
"Asian","2016","Support Staff","2.6","%","184"
"Asian","2016","Total Staff","0.9","%","373"
"Asian","2016","Total firefighters","0.6","%","186"
"Asian","2016","Wholetime firefighters","0.7","%","163"
"Asian","2017","Fire Control","0.3","%","3"
"Asian","2017","Retained Duty System firefighters","0.2","%","20"
"Asian","2017","Support Staff","2.7","%","182"
"Asian","2017","Total Staff","0.9","%","356"
"Asian","2017","Total firefighters","0.5","%","171"
"Asian","2017","Wholetime firefighters","0.7","%","151"
"Black","2011","Fire Control","0.6","%","8"
"Black","2011","Retained Duty System firefighters","0.2","%","22"
"Black","2011","Support Staff","2.5","%","215"
"Black","2011","Total Staff","1.5","%","742"
"Black","2011","Total firefighters","1.3","%","519"
"Black","2011","Wholetime firefighters","1.9","%","497"
"Black","2012","Fire Control","0.5","%","7"
"Black","2012","Retained Duty System firefighters","0.4","%","45"
"Black","2012","Support Staff","2.7","%","216"
"Black","2012","Total Staff","1.6","%","763"
"Black","2012","Total firefighters","1.4","%","540"
"Black","2012","Wholetime firefighters","1.9","%","495"
"Black","2013","Fire Control","0.5","%","7"
"Black","2013","Retained Duty System firefighters","0.2","%","25"
"Black","2013","Support Staff","2.6","%","200"
"Black","2013","Total Staff","1.5","%","714"
"Black","2013","Total firefighters","1.4","%","507"
"Black","2013","Wholetime firefighters","1.9","%","482"
"Black","2014","Fire Control","0.6","%","7"
"Black","2014","Retained Duty System firefighters","0.2","%","23"
"Black","2014","Support Staff","2.5","%","182"
"Black","2014","Total Staff","1.5","%","672"
"Black","2014","Total firefighters","1.4","%","483"
"Black","2014","Wholetime firefighters","1.9","%","460"
"Black","2015","Fire Control","0.8","%","9"
"Black","2015","Retained Duty System firefighters","0.2","%","20"
"Black","2015","Support Staff","2.7","%","189"
"Black","2015","Total Staff","1.6","%","649"
"Black","2015","Total firefighters","1.3","%","451"
"Black","2015","Wholetime firefighters","1.9","%","431"
"Black","2016","Fire Control","0.7","%","7"
"Black","2016","Retained Duty System firefighters","0.3","%","27"
"Black","2016","Support Staff","2.6","%","184"
"Black","2016","Total Staff","1.6","%","640"
"Black","2016","Total firefighters","1.4","%","449"
"Black","2016","Wholetime firefighters","1.9","%","422"
"Black","2017","Fire Control","0.9","%","9"
"Black","2017","Retained Duty System firefighters","0.2","%","21"
"Black","2017","Support Staff","2.6","%","173"
"Black","2017","Total Staff","1.6","%","610"
"Black","2017","Total firefighters","1.4","%","428"
"Black","2017","Wholetime firefighters","1.9","%","407"
"Other inc. Chinese","2011","Fire Control","0.2","%","3"
"Other inc. Chinese","2011","Retained Duty System firefighters","0.3","%","36"
"Other inc. Chinese","2011","Support Staff","0.7","%","60"
"Other inc. Chinese","2011","Total Staff","0.5","%","237"
"Other inc. Chinese","2011","Total firefighters","0.5","%","174"
"Other inc. Chinese","2011","Wholetime firefighters","0.5","%","138"
"Other inc. Chinese","2012","Fire Control","0.3","%","4"
"Other inc. Chinese","2012","Retained Duty System firefighters","0.2","%","27"
"Other inc. Chinese","2012","Support Staff","0.8","%","65"
"Other inc. Chinese","2012","Total Staff","0.4","%","206"
"Other inc. Chinese","2012","Total firefighters","0.4","%","137"
"Other inc. Chinese","2012","Wholetime firefighters","0.4","%","110"
"Other inc. Chinese","2013","Fire Control","0.4","%","5"
"Other inc. Chinese","2013","Retained Duty System firefighters","0.2","%","21"
"Other inc. Chinese","2013","Support Staff","0.8","%","59"
"Other inc. Chinese","2013","Total Staff","0.5","%","214"
"Other inc. Chinese","2013","Total firefighters","0.4","%","150"
"Other inc. Chinese","2013","Wholetime firefighters","0.5","%","129"
"Other inc. Chinese","2014","Fire Control","0.4","%","5"
