"Title","NHS trust board membership"
"Location","England"
"Time period","2017"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-15"
"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Headcount","Value","Value_type"
"Percentage of NHS trust board members","2Gether NHS Foundation Trust","RTQ","Mental Health","South","White","White & Other","14","100","%"
"Percentage of NHS trust board members","2Gether NHS Foundation Trust","RTQ","Mental Health","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","2Gether NHS Foundation Trust","RTQ","Mental Health","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Aintree University Hospital NHS Foundation Trust","REM","Acute","North","White","White & Other","12","100","%"
"Percentage of NHS trust board members","Aintree University Hospital NHS Foundation Trust","REM","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Aintree University Hospital NHS Foundation Trust","REM","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute","North","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute","North","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute","North","White","White & Other","12","92","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute","North","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Acute","South","White","White & Other","14","93","%"
"Percentage of NHS trust board members","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Acute","South","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health","South","White","White & Other","9","69","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health","South","Unknown","White & Other","4","31","%"
"Percentage of NHS trust board members","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Acute","London","White","White & Other","9","69","%"
