"Ethnicity","Grade","%","Headcount"
"Asian","Senior doctors (Career grade)","",""
"Asian","Consultant (including Directors of Public Health)","27.9","12,775"
"Asian","Associate Specialist","40.8","896"
"Asian","Specialty Doctor","44.1","3,107"
"Asian","Staff Grade","35.3","139"
"Asian","Junior doctors (Training and equivalent)","",""
"Asian","Specialty Registrar","28.1","8,004"
"Asian","Core Training","27.7","2,462"
"Asian","Foundation Doctor Year 2","24.1","1,375"
"Asian","Foundation Doctor Year 1","20.7","1,117"
"Asian","Other doctors","",""
"Asian","Hospital Practitioner / Clinical Assistant","17.4","264"
"Asian","Other and Local HCHS Doctor Grades","21.0","259"
"Black","Senior doctors (Career grade)","",""
"Black","Consultant (including Directors of Public Health)","2.8","1,301"
"Black","Associate Specialist","5.1","112"
"Black","Specialty Doctor","5.1","361"
"Black","Staff Grade","7.9","31"
"Black","Junior doctors (Training and equivalent)","",""
"Black","Specialty Registrar","5.2","1,488"
"Black","Core Training","5.4","477"
"Black","Foundation Doctor Year 2","4.1","235"
"Black","Foundation Doctor Year 1","3.8","203"
"Black","Other doctors","",""
"Black","Hospital Practitioner / Clinical Assistant","1.4","22"
"Black","Other and Local HCHS Doctor Grades","2.1","26"
"Chinese","Senior doctors (Career grade)","",""
"Chinese","Consultant (including Directors of Public Health)","2.0","894"
"Chinese","Associate Specialist","0.8","17"
"Chinese","Specialty Doctor","1.0","67"
"Chinese","Staff Grade","2.5","10"
"Chinese","Junior doctors (Training and equivalent)","",""
"Chinese","Specialty Registrar","3.4","958"
"Chinese","Core Training","3.6","316"
"Chinese","Foundation Doctor Year 2","3.1","178"
"Chinese","Foundation Doctor Year 1","4.1","219"
"Chinese","Other doctors","",""
"Chinese","Hospital Practitioner / Clinical Assistant","0.5","7"
"Chinese","Other and Local HCHS Doctor Grades","1.5","18"
"Mixed","Senior doctors (Career grade)","",""
"Mixed","Consultant (including Directors of Public Health)","2.2","992"
"Mixed","Associate Specialist","3.1","69"
"Mixed","Specialty Doctor","3.0","210"
"Mixed","Staff Grade","4.3","17"
"Mixed","Junior doctors (Training and equivalent)","",""
"Mixed","Specialty Registrar","3.8","1,080"
"Mixed","Core Training","4.4","388"
"Mixed","Foundation Doctor Year 2","4.0","228"
"Mixed","Foundation Doctor Year 1","4.3","233"
"Mixed","Other doctors","",""
"Mixed","Hospital Practitioner / Clinical Assistant","1.4","21"
"Mixed","Other and Local HCHS Doctor Grades","2.7","33"
"White","Senior doctors (Career grade)","",""
"White","Consultant (including Directors of Public Health)","61.8","28,341"
"White","Associate Specialist","41.1","904"
"White","Specialty Doctor","39.8","2,806"
"White","Staff Grade","44.9","177"
"White","Junior doctors (Training and equivalent)","",""
"White","Specialty Registrar","55.2","15,720"
"White","Core Training","54.8","4,877"
"White","Foundation Doctor Year 2","61.1","3,481"
"White","Foundation Doctor Year 1","64.2","3,459"
"White","Other doctors","",""
"White","Hospital Practitioner / Clinical Assistant","77.5","1,177"
"White","Other and Local HCHS Doctor Grades","70.3","867"
"Other","Senior doctors (Career grade)","",""
"Other","Consultant (including Directors of Public Health)","3.3","1,524"
"Other","Associate Specialist","9.1","199"
"Other","Specialty Doctor","7.1","497"
"Other","Staff Grade","5.1","20"
"Other","Junior doctors (Training and equivalent)","",""
"Other","Specialty Registrar","4.3","1,228"
"Other","Core Training","4.2","375"
"Other","Foundation Doctor Year 2","3.5","201"
"Other","Foundation Doctor Year 1","2.9","157"
"Other","Other doctors","",""
"Other","Hospital Practitioner / Clinical Assistant","1.8","28"
"Other","Other and Local HCHS Doctor Grades","2.4","30"
