"Title","NHS non-medical workforce by ethnicity and specific grade"
"Location","England"
"Time period","2017"
"Data source","NHS Workforce Statistics"
"Data source link","https://digital.nhs.uk/catalogue/PUB30165"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Grade","%","Headcount"
"Asian","Graduate entry grades","",""
"Asian","Very Senior Manager","4.2","79"
"Asian","Band 9","3.7","52"
"Asian","Band 8d","3.4","125"
"Asian","Band 8c","4.3","332"
"Asian","Band 8b","5.0","756"
"Asian","Band 8a","6.3","2,403"
"Asian","Band 7","5.9","6,570"
"Asian","Band 6","6.9","13,616"
"Asian","Band 5","10.5","22,235"
"Asian","Non-graduate entry grades","",""
"Asian","Band 4","5.9","5,333"
"Asian","Band 3","5.9","8,264"
"Asian","Band 2","7.6","13,324"
"Asian","Band 1","9.0","2,993"
"Asian","Unspecified","",""
"Asian","Other grades","7.6"," 1,051 "
"Black","Graduate entry grades","",""
"Black","Very Senior Manager","1.0","19"
"Black","Band 9","1.7","23"
"Black","Band 8d","2.0","75"
"Black","Band 8c","2.3","180"
"Black","Band 8b","3.1","463"
"Black","Band 8a","3.7","1,405"
"Black","Band 7","4.6","5,109"
"Black","Band 6","5.8","11,617"
"Black","Band 5","7.7","16,260"
"Black","Non-graduate entry grades","",""
"Black","Band 4","4.8","4,378"
"Black","Band 3","6.1","8,593"
"Black","Band 2","6.0","10,569"
"Black","Band 1","6.8","2,273"
"Black","Unspecified","",""
"Black","Other grades","5.3","736"
"Chinese","Graduate entry grades","",""
"Chinese","Very Senior Manager","0.3","5"
"Chinese","Band 9","0.3","4"
"Chinese","Band 8d","0.4","14"
"Chinese","Band 8c","0.4","31"
"Chinese","Band 8b","0.6","95"
"Chinese","Band 8a","0.6","237"
"Chinese","Band 7","0.6","652"
"Chinese","Band 6","0.4","842"
"Chinese","Band 5","0.4","811"
"Chinese","Non-graduate entry grades","",""
"Chinese","Band 4","0.3","251"
"Chinese","Band 3","0.2","257"
"Chinese","Band 2","0.2","314"
"Chinese","Band 1","0.2","71"
"Chinese","Unspecified","",""
"Chinese","Other grades","0.3","35"
"Mixed","Graduate entry grades","",""
"Mixed","Very Senior Manager","0.6","12"
"Mixed","Band 9","1.2","17"
"Mixed","Band 8d","1.0","38"
"Mixed","Band 8c","1.2","92"
"Mixed","Band 8b","1.2","178"
"Mixed","Band 8a","1.3","500"
"Mixed","Band 7","1.3","1,438"
"Mixed","Band 6","1.4","2,774"
"Mixed","Band 5","1.6","3,341"
"Mixed","Non-graduate entry grades","",""
"Mixed","Band 4","1.5","1,397"
"Mixed","Band 3","1.5","2,087"
"Mixed","Band 2","1.5","2,691"
"Mixed","Band 1","1.6","532"
"Mixed","Unspecified","",""
"Mixed","Other grades","1.8","246"
"White","Graduate entry grades","",""
"White","Very Senior Manager","93.6","1,779"
"White","Band 9","92.5","1,287"
"White","Band 8d","92.8","3,422"
"White","Band 8c","91.2","7,056"
"White","Band 8b","89.4","13,408"
"White","Band 8a","87.1","33,377"
"White","Band 7","86.3","96,735"
"White","Band 6","83.5","165,872"
"White","Band 5","76.7","161,892"
"White","Non-graduate entry grades","",""
"White","Band 4","86.6","78,823"
"White","Band 3","85.1","119,212"
"White","Band 2","82.7","144,975"
"White","Band 1","80.3","26,826"
"White","Unspecified","",""
"White","Other grades","83.9"," 11,673 "
"Other","Graduate entry grades","",""
"Other","Very Senior Manager","0.3","6"
"Other","Band 9","0.6","8"
"Other","Band 8d","0.3","12"
"Other","Band 8c","0.6","50"
"Other","Band 8b","0.7","106"
"Other","Band 8a","1.0","380"
"Other","Band 7","1.4","1,576"
"Other","Band 6","2.0","3,883"
"Other","Band 5","3.1","6,596"
"Other","Non-graduate entry grades","",""
"Other","Band 4","0.9","834"
"Other","Band 3","1.2","1,720"
"Other","Band 2","1.9","3,412"
"Other","Band 1","2.2","726"
"Other","Unspecified","",""
"Other","Other grades","1.3","178"
"Ethnic minority (exc. White minorities)","Graduate entry grades","",""
"Ethnic minority (exc. White minorities)","Very Senior Manager","6.4","121"
"Ethnic minority (exc. White minorities)","Band 9","7.5","104"
"Ethnic minority (exc. White minorities)","Band 8d","7.2","264"
"Ethnic minority (exc. White minorities)","Band 8c","8.8","685"
"Ethnic minority (exc. White minorities)","Band 8b","10.6","1,598"
"Ethnic minority (exc. White minorities)","Band 8a","12.9","4,925"
"Ethnic minority (exc. White minorities)","Band 7","13.7","15,345"
"Ethnic minority (exc. White minorities)","Band 6","16.5","32,732"
"Ethnic minority (exc. White minorities)","Band 5","23.3","49,243"
"Ethnic minority (exc. White minorities)","Non-graduate entry grades","",""
"Ethnic minority (exc. White minorities)","Band 4","13.4","12,193"
"Ethnic minority (exc. White minorities)","Band 3","14.9","20,921"
"Ethnic minority (exc. White minorities)","Band 2","17.3","30,310"
"Ethnic minority (exc. White minorities)","Band 1","19.7","6,595"
"Ethnic minority (exc. White minorities)","Unspecified","",""
"Ethnic minority (exc. White minorities)","Other grades","16.1"," 2,246 "
